ID,Category,Category.1,job_type,Posted,Budget,est. budget,hours/week,duration,UpWork
1,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,,>30,4.5,UpWork
2,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,101.5,<30,<1,UpWork
3,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,,<30,<1,UpWork
4,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,,<30,<1,UpWork
5,Data Science & Analytics,Data Science,Hourly,4/25/2025,,,<30,<1,UpWork
6,Data Science & Analytics,Data Science,Hourly,4/25/2025,,55,<30,<1,UpWork
7,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,,>30,4.5,UpWork
8,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,22.5,<30,<1,UpWork
9,Data Science & Analytics,AI & ML,Fixed price,4/25/2025,100,,,,UpWork
10,Data Science & Analytics,AI & ML,Fixed price,4/25/2025,125,,,,UpWork
11,Data Science & Analytics,Data Science,Hourly,4/25/2025,,7.5,<30,<1,UpWork
12,Data Science & Analytics,Database Management,Hourly,4/25/2025,,25,>30,2,UpWork
13,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,55,<30,<1,UpWork
14,Data Science & Analytics,Web Development,Hourly,4/25/2025,,,<30,<1,UpWork
15,Data Science & Analytics,AI & ML,Fixed price,4/25/2025,300,,,,UpWork
16,Data Science & Analytics,Data Science,Hourly,4/25/2025,,29.5,<30,<1,UpWork
17,Data Science & Analytics,Data Science,Fixed price,4/25/2025,15,,,,UpWork
18,Data Science & Analytics,DevOps,Fixed price,4/25/2025,50,,,,UpWork
19,Data Science & Analytics,Data Science,Hourly,4/25/2025,,20,<30,<1,UpWork
20,Data Science & Analytics,Web Development,Hourly,4/25/2025,,,<30,<1,UpWork
21,Data Science & Analytics,Data Science,Fixed price,4/25/2025,300,,,,UpWork
22,Data Science & Analytics,AI & ML,Fixed price,4/25/2025,150,,,,UpWork
23,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,,>30,4.5,UpWork
24,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,,>30,4.5,UpWork
25,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,,>30,4.5,UpWork
26,Data Science & Analytics,AI & ML,Fixed price,4/25/2025,100,,,,UpWork
27,Data Science & Analytics,Web Development,Hourly,4/25/2025,,,,2,UpWork
28,Data Science & Analytics,Web Development,Fixed price,4/25/2025,200,,,,UpWork
29,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,,<30,<1,UpWork
30,Data Science & Analytics,Web Development,Hourly,4/25/2025,,29.5,<30,<1,UpWork
31,Data Science & Analytics,AI & ML,Fixed price,4/25/2025,50,,,,UpWork
32,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,,>30,2,UpWork
33,Data Science & Analytics,AI & ML,Fixed price,4/25/2025,500,,,,UpWork
34,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,51.5,<30,<1,UpWork
35,Data Science & Analytics,AI & ML,Hourly,4/25/2025,,112,<30,<1,UpWork
36,Data Science & Analytics,Data Science,Hourly,4/25/2025,,35,,<1,UpWork
37,Data Science & Analytics,Data Science,Hourly,4/25/2025,,,<30,<1,UpWork
