Title,Link,Client,Type,Budget,Category,Date Posted,Category.1
Need a pro to test a website still under construction before launch.,https://www.freelanceyard.com/en/jobs/need-a-pro-to-test-a-website-still-under-construction-before-launch,creativity - Ngo,- Ngo,17.5,IT & Tech,2025-05-16,Web Development
Crop Yield Prediction Model - AgriSmart Misr,https://www.freelanceyard.com/en/jobs/crop-yield-prediction-model-agrismart-misr,Code Nest - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Patient No-Show Prediction Model - HealthTrack Egypt,https://www.freelanceyard.com/en/jobs/patient-no-show-prediction-model-healthtrack-egypt,Code Nest - Startup,- Startup,3.2,IT & Tech,2025-05-15,Data Analysis
Frontend Developer for Restaurant Web App,https://www.freelanceyard.com/en/jobs/frontend-developer-for-restaurant-web-app,Resturant - Individual,- Individual,4.8,IT & Tech,2025-05-15,Web Development
Tracking shipment screen,https://www.freelanceyard.com/en/jobs/tracking-shipment-screen,Ekhtyar - Startup,- Startup,11.2,IT & Tech,2025-05-15,Other
Basic store UI,https://www.freelanceyard.com/en/jobs/basic-store-ui,Ekhtyar - Startup,- Startup,13.6,IT & Tech,2025-05-15,Data Science
Royal Shine Website,https://www.freelanceyard.com/en/jobs/royal-shine-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Huroof Gallery Website,https://www.freelanceyard.com/en/jobs/huroof-gallery-website,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Future LiTech Website,https://www.freelanceyard.com/en/jobs/future-litech-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Misk Website,https://www.freelanceyard.com/en/jobs/misk-website,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Care Clinic Website,https://www.freelanceyard.com/en/jobs/care-clinic-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Luxe Interiors Website,https://www.freelanceyard.com/en/jobs/luxe-interiors-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Sahara Xpeditions Website,https://www.freelanceyard.com/en/jobs/sahara-xpeditions-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Tourism Website,https://www.freelanceyard.com/en/jobs/tourism-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Traditional Perfumery Website,https://www.freelanceyard.com/en/jobs/traditional-perfumery-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Home Installation Service Website,https://www.freelanceyard.com/en/jobs/home-installation-service-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Calligraphy Art Studio Website,https://www.freelanceyard.com/en/jobs/calligraphy-art-studio-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Car Detailing Service Website,https://www.freelanceyard.com/en/jobs/car-detailing-service-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
EverAfter Events Website,https://www.freelanceyard.com/en/jobs/little-explorers-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Partners Law Firm Website,https://www.freelanceyard.com/en/jobs/partners-law-firm-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Oasis Fit Website,https://www.freelanceyard.com/en/jobs/oasis-fit-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Noora Cosmetics Website,https://www.freelanceyard.com/en/jobs/noora-cosmetics-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
GreenShine Cleaning Website,https://www.freelanceyard.com/en/jobs/greenshine-cleaning-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Planning Agency Website,https://www.freelanceyard.com/en/jobs/planning-agency-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Repair Shop Website,https://www.freelanceyard.com/en/jobs/repair-shop-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Veterinary Clinic Website,https://www.freelanceyard.com/en/jobs/veterinary-clinic-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Interior Design Studio Website,https://www.freelanceyard.com/en/jobs/interior-design-studio-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Home Cleaning Service Website,https://www.freelanceyard.com/en/jobs/home-cleaning-service-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Little Explorers Website,https://www.freelanceyard.com/en/jobs/little-explorers-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Noora Cosmetics Website,https://www.freelanceyard.com/en/jobs/noora-cosmetics-website-1,Horizon Solutions - Startup,- Startup,6.4,IT & Tech,2025-05-14,Web Development
Desert Bloom Website,https://www.freelanceyard.com/en/jobs/desert-bloom-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Toy Store Website,https://www.freelanceyard.com/en/jobs/toy-store-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Law Firm Website,https://www.freelanceyard.com/en/jobs/law-firm-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Wellness Center Website,https://www.freelanceyard.com/en/jobs/wellness-center-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Luxury Skincare Website,https://www.freelanceyard.com/en/jobs/luxury-skincare-website-1,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
Monda Cafe & Restaurant Website,https://www.freelanceyard.com/en/jobs/monda-cafe-restaurant-website,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-15,Web Development
User Authentication & Registration,https://www.freelanceyard.com/en/jobs/landing-page,sosa - Individual,- Individual,5.6,IT & Tech,2025-05-12,Web Development
Login&Register Form,https://www.freelanceyard.com/en/jobs/loginregister-form,Aopene - Corporate,- Corporate,15.0,IT & Tech,2025-05-12,Web Development
Looking for someone to write me a code on Arduino IDE for my project,https://www.freelanceyard.com/en/jobs/looking-for-someone-to-write-me-a-code-on-arduino-ide-for-my-project,Master - Individual,- Individual,4.0,IT & Tech,2025-05-11,Software Engineering
to-do-list,https://www.freelanceyard.com/en/jobs/to-do-list-2,individual - Startup,- Startup,9.6,IT & Tech,2025-05-11,Other
Cybersecurity Analyst Needed for Advanced Log Review & Risk Assessment,https://www.freelanceyard.com/en/jobs/cybersecurity-analyst-needed-for-advanced-log-review-risk-assessment,Codenox Technology - Startup,- Startup,9.5,IT & Tech,2025-05-14,Cyber Security
Build a Front-End Interface for Student Information System at El-Horia School,https://www.freelanceyard.com/en/jobs/build-a-front-end-interface-for-student-information-system-at-el-horia-school,El-Horia School - Individual,- Individual,4.8,IT & Tech,2025-05-14,Web Development
Advanced Cybersecurity Log Analysis & Incident Response Task,https://www.freelanceyard.com/en/jobs/advanced-cybersecurity-log-analysis-incident-response-task,Codenox Technology - Startup,- Startup,10.0,IT & Tech,2025-05-13,Cyber Security
Percentage calculator,https://www.freelanceyard.com/en/jobs/percentage-calculator,Black Suites - Individual,- Individual,5.6,IT & Tech,2025-05-13,Mobile Development
Web site,https://www.freelanceyard.com/en/jobs/web-site,Software technologh - Startup,- Startup,10.56,IT & Tech,2025-05-13,Web Development
landing page,https://www.freelanceyard.com/en/jobs/landing-page-1,sosa - Individual,- Individual,16.8,IT & Tech,2025-05-12,Networking
Landing page,https://www.freelanceyard.com/en/jobs/landing-page,sosa - Individual,- Individual,5.6,IT & Tech,2025-05-12,Networking
to-do-list,https://www.freelanceyard.com/en/jobs/to-do-list-1,individual - Startup,- Startup,9.6,IT & Tech,2025-05-11,Other
i want to test my website,https://www.freelanceyard.com/en/jobs/i-want-to-test-my-website,Mina Nashaat - Individual,- Individual,3.2,IT & Tech,2025-05-11,Web Development
Looking for a Professional Web Developer for a Project,https://www.freelanceyard.com/en/jobs/looking-for-a-professional-web-developer-for-a-project,Bait Alkheba - Startup,- Startup,1760.0,IT & Tech,2025-05-10,Other
implement room database in java android studio for Attendance system,https://www.freelanceyard.com/en/jobs/implement-room-database-in-java-android-studio-for-attendance-system,Mina Nashaat - Individual,- Individual,3.2,IT & Tech,2025-05-10,Mobile Development
implement room database in java android studio,https://www.freelanceyard.com/en/jobs/implement-room-database-in-java-android-studio,Mina Nashaat - Individual,- Individual,4.8,IT & Tech,2025-05-10,Mobile Development
Recipe page,https://www.freelanceyard.com/en/jobs/recipe-page-42,Minio Studio - Startup,- Startup,3.2,IT & Tech,2025-05-08,Other
notes app,https://www.freelanceyard.com/en/jobs/notes-app,Null - Individual,- Individual,5.0,IT & Tech,2025-05-08,Mobile Development
Time transformed,https://www.freelanceyard.com/en/jobs/mhol-alokt,Null - Individual,- Individual,4.8,IT & Tech,2025-05-08,Web Development
BMI app,https://www.freelanceyard.com/en/jobs/bmi-app,Null - Individual,- Individual,3.2,IT & Tech,2025-05-08,Web Development
Currency transformed,https://www.freelanceyard.com/en/jobs/mhol-aamlat,Null - Individual,- Individual,5.0,IT & Tech,2025-05-08,Web Development
Language Level Test – for a Language Learning App,https://www.freelanceyard.com/en/jobs/language-level-test-for-a-language-learning-app-1,UXera - Startup,- Startup,3.2,IT & Tech,2025-05-09,Web Development
Loan Default Prediction Model - MisrFinTech,https://www.freelanceyard.com/en/jobs/loan-default-prediction-model-misrfintech,Code Nest - Startup,- Startup,3.2,IT & Tech,2025-05-08,Data Analysis
Inventory Demand Forecasting Model - NileSupply Chain Solutions,https://www.freelanceyard.com/en/jobs/inventory-demand-forecasting-model-nilesupply-chain-solutions,Code Nest - Startup,- Startup,3.2,IT & Tech,2025-05-08,Data Analysis
To-Do List App in Flutter,https://www.freelanceyard.com/en/jobs/to-do-list-app-in-flutter,crowCode - Startup,- Startup,60.0,IT & Tech,2025-05-08,Mobile Development
Dimarine home exercise,https://www.freelanceyard.com/en/jobs/mokt-tmryn-mnzly,Null - Individual,- Individual,4.8,IT & Tech,2025-05-08,Other
Speed,https://www.freelanceyard.com/en/jobs/al-thoyl-sraa,Null - Individual,- Individual,3.2,IT & Tech,2025-05-08,Artificial Intelligence
ID#b6dee20f design a clean and modern portfolio website to showcase work,https://www.freelanceyard.com/en/jobs/idb6dee20f-design-a-clean-and-modern-portfolio-website-to-showcase-work,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-08,Web Development
ID#035b96a9 Simple Online Store,https://www.freelanceyard.com/en/jobs/id035b96a9-simple-online-store,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-08,E-commerce Development
Need Help Understanding Trees vs Boosting in Machine Learning - Quick Zoom Call(30 min),https://www.freelanceyard.com/en/jobs/need-help-understanding-trees-vs-boosting-in-machine-learning-quick-zoom-call30-min,Orchestrator - Individual,- Individual,4.8,IT & Tech,2025-05-08,Data Science
Design and Implement a Student Database for El-Horia School,https://www.freelanceyard.com/en/jobs/design-and-implement-a-student-database-for-el-horia-school,El-Horia School - Individual,- Individual,6.4,IT & Tech,2025-05-08,UI/UX and Graphic Design
ID#29af4c3a donation-friendly website,https://www.freelanceyard.com/en/jobs/id29af4c3a-donation-friendly-website,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-08,Web Development
ID#9fd56e83 set up amateur blog for tech trends,https://www.freelanceyard.com/en/jobs/id9fd56e83-set-up-amateur-blog-for-tech-trends,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-08,Other
ID#9fd56e83 set up amateur blog for food reviews,https://www.freelanceyard.com/en/jobs/id9fd56e83-set-up-amateur-blog-for-food-reviews,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-08,Other
ID#9fd56e83 set up amateur blog for your travel destinations in Asia,https://www.freelanceyard.com/en/jobs/id9fd56e83-set-up-amateur-blog-for-your-travel-destinations-in-asia,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-08,Networking
ID#f71948f7 create a restaurant website menu,https://www.freelanceyard.com/en/jobs/idf71948f7-create-a-restaurant-website-menu,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-08,Web Development
ID#c10f49b8 build a professional vet website,https://www.freelanceyard.com/en/jobs/idc10f49b8-build-a-professional-vet-website,Horizon Solutions - Startup,- Startup,3.2,IT & Tech,2025-05-08,Web Development
time calculator,https://www.freelanceyard.com/en/jobs/time-calculator,Null - Individual,- Individual,4.8,IT & Tech,2025-05-08,Mobile Development
Calculate the difference between two history,https://www.freelanceyard.com/en/jobs/hsab-alfrk-byn-tarykhyn,Null - Individual,- Individual,3.2,IT & Tech,2025-05-08,Other
Age calculator,https://www.freelanceyard.com/en/jobs/hasb-alaamr,Null - Individual,- Individual,5.0,IT & Tech,2025-05-08,Mobile Development
Weight unit transformer,https://www.freelanceyard.com/en/jobs/mhol-ohdat-alozn,Null - Individual,- Individual,4.8,IT & Tech,2025-05-08,Web Development
Length,https://www.freelanceyard.com/en/jobs/mhol-ohdat-altol,Null - Individual,- Individual,3.2,IT & Tech,2025-05-08,Other
Heat adapter,https://www.freelanceyard.com/en/jobs/mhol-drg-hrar,Null - Individual,- Individual,5.0,IT & Tech,2025-05-08,Other
