ID,Title,Bids,Days Left to bid,Price,Type,Link,Category.1
0,Bahrain Business Setup Expert -- 2,5,6,17.0,Hourly,https://www.freelancer.com/projects/legal/bahrain-business-setup-expert,Web Development
1,Homepage Text Color Adjustment,53,6,21.0,Hourly,https://www.freelancer.com/projects/graphic-design/homepage-text-color-adjustment,Web Development
2,Finance Sales Appointment Setter,1,6,8.0,Hourly,https://www.freelancer.com/projects/customer-service/finance-sales-appointment-setter,Web Development
3,Fix Yamaha RX-A780 No Sound Issue,15,0,50.0,Hourly,https://www.freelancer.com/projects/iphone-app-development/fix-yamaha-sound-issue,Mobile Development
4,Personal Vlog Video Editor,14,6,11.0,Hourly,https://www.freelancer.com/projects/after-effects/personal-vlog-video-editor,UI/UX and Graphic Design
5,Patch Designs,67,6,18.0,Hourly,https://www.freelancer.com/projects/graphic-design/patch-designs,Web Development
6,Python Interview Prep Expert Needed,4,6,4.0,Hourly,https://www.freelancer.com/projects/python/python-interview-prep-expert-needed,Artificial Intelligence
7,Cost Management Tutor for Interview Prep,1,6,3.0,Hourly,https://www.freelancer.com/projects/project-management/cost-management-tutor-for-interview,Mobile Development
8,Sleek Pricing Guide Design,28,6,6.0,Hourly,https://www.freelancer.com/projects/graphic-design/sleek-pricing-guide-design,UI/UX and Graphic Design
9,Revamp my cv -- 2,17,6,5.0,Hourly,https://www.freelancer.com/projects/copywriting/revamp-39393340,Other
10,Casual Fun Video Editing,8,6,12.0,Hourly,https://www.freelancer.com/projects/video-editing/casual-fun-video-editing-39393330,Mobile Development
11,Legal Audio Cleanup & Analysis,5,6,50.0,Hourly,https://www.freelancer.com/projects/audio-services/legal-audio-cleanup-analysis,Data Analysis
12,Legal Audio Cleanup & Analysis -- 2,6,6,16.0,Hourly,https://www.freelancer.com/projects/audio-services/legal-audio-cleanup-analysis-39393302,Data Analysis
13,Motion Graphics Video Editor for YouTube,30,6,19.0,Hourly,https://www.freelancer.com/projects/animation/motion-graphics-video-editor-for,UI/UX and Graphic Design
14,Audio Editor for Interviews,14,6,17.0,Hourly,https://www.freelancer.com/projects/audio-services/audio-editor-for-interviews,Web Development
15,Social Media Brand Awareness Campaign,32,6,9.0,Hourly,https://www.freelancer.com/projects/social-media-marketing/social-media-brand-awareness-campaign-39393266,Mobile Development
16,Film/TV Talent Agent Needed,5,6,5.0,Hourly,https://www.freelancer.com/projects/book-writing/film-talent-agent-needed,Artificial Intelligence
17,Nonprofit Financial Audit Specialist,11,6,67.0,Hourly,https://www.freelancer.com/projects/accounting/nonprofit-financial-audit-specialist,Mobile Development
18,Journalist/Editorial Assistant Needed,1,6,25.0,Hourly,https://www.freelancer.com/projects/investigative-journalism/journalist-editorial-assistant-needed-39393196,Software Engineering
