index,ID,Skills
1,1,Business Consulting
2,1,Business Management
3,1,Legal
4,1,Legal Consultation
5,1,Legal Research
6,2,Graphic Design
7,2,HTML
8,2,Photoshop
9,2,User Interface / IA
10,2,Website Design
11,3,Customer Service
12,3,Telemarketing
13,4,iPhone
14,4,Mobile App Development
15,5,After Effects
16,5,Video Editing
17,5,Video Production
18,5,Video Services
19,5,Videography
20,6,Graphic Design
21,6,Illustration
22,6,Illustrator
23,6,Logo Design
24,6,Photoshop
25,7,Data Mining
26,7,Linux
27,7,Machine Learning (ML)
28,7,Python
29,7,Software Architecture
30,8,Education & Tutoring
31,8,Interviewing
32,8,Management
33,8,Project Management
34,8,Technical Writing
35,9,Adobe InDesign
36,9,Brochure Design
37,9,Corporate Identity
38,9,Graphic Design
39,9,Photoshop
40,10,Copywriting
41,10,Editing
42,10,Proofreading
43,10,Resumes
44,11,After Effects
45,11,Video Editing
46,11,Video Production
47,11,Video Services
48,11,Videography
49,12,Audio Production
50,12,Audio Services
51,12,English (US) Translator
52,12,Transcription
53,12,Voice Talent
54,13,Audio Production
55,13,Audio Services
56,13,English (US) Translator
57,13,Transcription
58,13,Voice Talent
59,14,After Effects
60,14,Animation
61,14,Motion Graphics
62,14,Video Editing
63,14,Video Services
64,15,Audio Production
65,15,Audio Services
66,15,Editing
67,15,Music
68,15,Voice Talent
69,16,Facebook Marketing
70,16,Internet Marketing
71,16,Pinterest
72,16,Social Media Marketing
73,16,Twitter
74,17,Abnormal Psychology
75,17,Acting
76,17,Book Writing
77,17,Psychology
78,17,Screenwriting
79,18,Accounting
80,18,Business Analysis
81,18,Finance
82,18,Financial Analysis
83,18,Financial Research
84,19,Communications
85,19,Investigative Journalism
86,20,Facebook Marketing
87,20,Google Plus
88,20,Social Media Marketing
89,20,Twitter
90,20,Virtual Assistant
91,21,Business Development
92,21,Canva
93,21,Data Entry
94,21,Google Sheets
95,21,Virtual Assistant
96,23,3D Modelling
97,23,3D Rendering
98,23,Building Architecture
99,23,Home Design
100,23,Interior Design
101,24,Google Maps API
102,24,Graphic Design
103,24,HTML
104,24,PHP
105,24,Website Design
106,25,Facebook Marketing
107,25,Internet Marketing
108,25,Marketing
109,25,Social Media Marketing
110,25,Social Networking
111,26,Data Entry
112,26,HTML
113,26,PHP
114,26,Website Design
115,26,WordPress
116,27,API
117,27,Flutter
118,27,Google APIs
119,27,Laravel
120,27,PHP
121,28,Article Writing
122,28,Content Writing
123,28,Copywriting
124,28,Ghostwriting
125,28,Research Writing
126,29,Fashion Design
127,29,Fashion Modeling
128,30,Video Production
129,30,Videography
130,31,Photo Editing
131,31,Photoshop
132,32,Graphic Design
133,32,HTML
134,32,MySQL
135,32,PHP
136,32,Website Design
137,33,Advertising
138,33,Facebook Marketing
139,33,Internet Marketing
140,33,Marketing
141,33,Social Media Marketing
142,34,Accounting
143,34,Excel
144,34,Finance
145,34,Financial Analysis
146,34,Financial Research
147,35,Adobe InDesign
148,35,Data Entry
149,35,Excel
150,35,PDF
151,35,Word
152,36,English (US) Translator
153,36,Portuguese (Brazil) Translator
154,36,Portuguese Translator
155,36,Spanish Translator
156,36,Translation
157,37,Advertising
158,37,Facebook Marketing
159,37,Internet Marketing
160,37,Marketing
161,37,Social Media Marketing
162,38,English (US) Translator
163,38,French Translator
164,38,Proofreading
165,38,Transcription
166,38,Virtual Assistant
167,39,Odoo
168,39,PHP
169,39,PostgreSQL
170,39,Python
171,39,Software Architecture
172,40,Graphic Design
173,40,Website Design
174,41,Amazon Web Services
175,41,eCommerce
176,41,Internet Marketing
177,41,SEO
178,42,Castilian Spanish Translator
179,42,English (US) Translator
180,42,Proofreading
181,42,Spanish Translator
182,42,Translation
183,43,Graphic Design
184,43,Illustrator
185,43,Logo Design
186,43,Photoshop
187,43,Photoshop Design
188,44,Contracts
189,44,Employment Law
190,44,Legal
191,44,Legal Research
192,44,Legal Writing
193,45,Business Development
194,45,Digital Marketing
195,45,Sales
196,45,Telemarketing
197,45,Virtual Assistant
198,46,Customer Support
199,46,Instagram
200,46,System Admin
201,46,Technical Support
202,47,Email Handling
203,47,Google Search
204,47,Infrastructure Architecture
205,47,Virtual Assistant
206,48,Administrative Support
207,48,Project Management
208,48,Property Management
209,48,Virtual Assistant
210,49,Human Resources
211,49,Recruitment
212,49,Talent Acquisition
213,49,Technical Recruiter
214,50,Graphic Design
215,50,Illustration
216,50,Illustrator
217,50,Logo Design
218,50,Photoshop
