,Title,Posted,Budget,Duration(Days),number of offers,Link,Category_English,Category_Arabic
0,تعديلات على مشروع جداول المباريات والقنوات الناقلة,2025-05-17,37.5,7.0,7,https://mostaql.com/project/1091116-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%AC%D8%AF%D8%A7%D9%88%D9%84-%D8%A7%D9%84%D9%85%D8%A8%D8%A7%D8%B1%D9%8A%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D9%82%D9%86%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D9%86%D8%A7%D9%82%D9%84%D8%A9,Web Development,تطوير الويب
1,إنشاء موقع إلكتروني,2025-05-17,37.5,3.0,9,https://mostaql.com/project/1091215-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A,Web Development,تطوير الويب
2,تعديل وإكمال مشروع تطبيق قائم,2025-05-17,37.5,5.0,18,https://mostaql.com/project/1091155-%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D9%88%D8%A5%D9%83%D9%85%D8%A7%D9%84-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%82%D8%A7%D8%A6%D9%85,Artificial Intelligence,الذكاء الاصطناعي
3,تصميم موقع ووردبريس لعيادة تأهيل رياضي مع نظام حجز ودفع إلكتروني,2025-05-17,175.0,5.0,12,https://mostaql.com/project/1091283-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D9%88%D9%88%D8%B1%D8%AF%D8%A8%D8%B1%D9%8A%D8%B3-%D9%84%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9-%D8%AA%D8%A3%D9%87%D9%8A%D9%84-%D8%B1%D9%8A%D8%A7%D8%B6%D9%8A-%D9%85%D8%B9-%D9%86%D8%B8%D8%A7%D9%85-%D8%AD%D8%AC%D8%B2-%D9%88%D8%AF%D9%81%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A,Web Development,تطوير الويب
4,تحديث مشروع تطبيق ودني على الإصدار الجديد,2025-05-17,175.0,2.0,7,https://mostaql.com/project/1091151-%D8%AA%D8%AD%D8%AF%D9%8A%D8%AB-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%88%D8%AF%D9%86%D9%8A-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A5%D8%B5%D8%AF%D8%A7%D8%B1-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF,Web Development,تطوير الويب
5,نظام حجز صالة مناسبات وأعراس,2025-05-17,375.0,5.0,16,https://mostaql.com/project/1091229-%D9%86%D8%B8%D8%A7%D9%85-%D8%AD%D8%AC%D8%B2-%D8%B5%D8%A7%D9%84%D8%A9-%D9%85%D9%86%D8%A7%D8%B3%D8%A8%D8%A7%D8%AA-%D9%88%D8%A3%D8%B9%D8%B1%D8%A7%D8%B3,Data Engineering,هندسة البيانات
6,بناء منصة لإدارة العيادات الطبية سحابيا,2025-05-17,75.0,30.0,5,https://mostaql.com/project/1091208-%D8%A8%D9%86%D8%A7%D8%A1-%D9%85%D9%86%D8%B5%D8%A9-%D9%84%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9-%D8%B3%D8%AD%D8%A7%D8%A8%D9%8A%D8%A7,Web Development,تطوير الويب
7,مطوّر Salla API – إنشاء قسائم آليًا وإصلاح عجلة الحظ,2025-05-17,37.5,3.0,2,https://mostaql.com/project/1091234-%D9%85%D8%B7%D9%88%D8%B1-salla-api-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%82%D8%B3%D8%A7%D8%A6%D9%85-%D8%A2%D9%84%D9%8A%D8%A7-%D9%88%D8%A5%D8%B5%D9%84%D8%A7%D8%AD-%D8%B9%D8%AC%D9%84%D8%A9-%D8%A7%D9%84%D8%AD%D8%B8,Web Development,تطوير الويب
8,ربط خدمات موقع إلكتروني بوتساب بوت,2025-05-17,37.5,3.0,5,https://mostaql.com/project/1091112-%D8%B1%D8%A8%D8%B7-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-%D9%85%D9%88%D9%82%D8%B9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D8%A8%D9%88%D8%AA%D8%B3%D8%A7%D8%A8-%D8%A8%D9%88%D8%AA,Web Development,تطوير الويب
9,تنفيذ تطبيق شطرنج ذكي باللغة العربية,2025-05-17,750.0,15.0,7,https://mostaql.com/project/1091221-%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B4%D8%B7%D8%B1%D9%86%D8%AC-%D8%B0%D9%83%D9%8A-%D8%A8%D8%A7%D9%84%D9%84%D8%BA%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9,Mobile Development,تطوير الهاتف المحمول
