ID,Title,Link,client name,Type,Budget,Category,Date Posted
1,Simple sign up design,https://www.freelanceyard.com/en/jobs/simple-sign-up-design,Amary startup ,Individual,3.2,IT & Tech,2025-04-30
2,Basic Scripting for File Management,https://www.freelanceyard.com/en/jobs/basic-scripting-for-file-management,High Contrast ,Startup,15.0,IT & Tech,2025-04-30
3,i want to create screen with xml,https://www.freelanceyard.com/en/jobs/i-want-to-create-screen-with-xml,Mina Nashaat ,Individual,3.2,IT & Tech,2025-04-30
4,Front End Developer Needed,https://www.freelanceyard.com/en/jobs/front-end-developer-needed,clinichim ,Startup,70.0,IT & Tech,2025-04-30
5,Setting up a Simple Web Server,https://www.freelanceyard.com/en/jobs/setting-up-a-simple-web-server,Intent 3D ,Startup,11.0,IT & Tech,2025-04-30
6,ui/ux,https://www.freelanceyard.com/en/jobs/uiux-2,Mostafa Salama ,Individual,28.0,IT & Tech,2025-04-30
7,Clothing App – Initial Wireframe Design,https://www.freelanceyard.com/en/jobs/clothing-app-initial-wireframe-design,El-ghzaly ,Startup,17.6,IT & Tech,2025-04-29
8,Text Splitter,https://www.freelanceyard.com/en/jobs/text-splitter-1,Sami Rabea ,Individual,3.2,IT & Tech,2025-04-29
9,Frontend Developer Needed to Build Static Barbershop Website (HTML/CSS/JS),https://www.freelanceyard.com/en/jobs/frontend-developer-needed-to-build-static-barbershop-website-htmlcssjs-3,Elrahman ,Startup,3.2,IT & Tech,2025-04-29
10,Prioritize mobile-first design for core screens. ,https://www.freelanceyard.com/en/jobs/prioritize-mobile-first-design-for-core-screens,High Contrast ,Startup,10.0,IT & Tech,2025-04-29
11,i want to create screen with xml,https://www.freelanceyard.com/en/jobs/i-want-to-create-screen-with-xml,Mina Nashaat ,Individual,3.2,IT & Tech,2025-04-29
12,Enhance the UI's accessibility and refinement. ,https://www.freelanceyard.com/en/jobs/enhance-the-uis-accessibility-and-refinement,Intent 3D ,Startup,11.0,IT & Tech,2025-04-29
13,Add new address page For E-commerce App,https://www.freelanceyard.com/en/jobs/add-new-address-page-for-e-commerce-app-1,UXera ,Startup,5.0,IT & Tech,2025-04-29
14,Edit Profile Page For E-commerce App,https://www.freelanceyard.com/en/jobs/edit-profile-page-for-e-commerce-app-1,UXera ,Startup,4.8,IT & Tech,2025-04-29
15,Profile Page – Settings List For E-commerce App,https://www.freelanceyard.com/en/jobs/profile-page-settings-list-for-e-commerce-app-1,UXera ,Startup,3.2,IT & Tech,2025-04-29
16,تطبيق حجز طاولة في مطعم (Restaurant Table Booking UI),https://www.freelanceyard.com/en/jobs/ttbyk-hgz-taol-fy-mtaam-restaurant-table-booking-ui,Basant ,Individual,5.0,IT & Tech,2025-04-29
17,تطبيق تتبع النوم (Sleep Tracker UI),https://www.freelanceyard.com/en/jobs/ttbyk-ttbaa-alnom-sleep-tracker-ui,Basant ,Individual,5.0,IT & Tech,2025-04-29
18,واجهة عرض كوبونات وعروض (Coupons App UI),https://www.freelanceyard.com/en/jobs/oagh-aard-kobonat-oaarod-coupons-app-ui,Basant ,Individual,3.2,IT & Tech,2025-04-29
19,"Build the homepage, featuring its hero section. ",https://www.freelanceyard.com/en/jobs/build-the-homepage-featuring-its-hero-section-1,COMMERGENT ,Startup,4.8,IT & Tech,2025-04-29
20,شاشة تأكيد الطلب (Order Confirmation Page),https://www.freelanceyard.com/en/jobs/shash-takyd-altlb-order-confirmation-page,Basant ,Individual,4.8,IT & Tech,2025-04-29
21,واجهة تطبيق بريد إلكتروني (Email App UI),https://www.freelanceyard.com/en/jobs/oagh-ttbyk-bryd-alktrony-email-app-ui,Basant ,Individual,3.2,IT & Tech,2025-04-29
22,تطبيق استعراض الأفلام (Movie App UI),https://www.freelanceyard.com/en/jobs/ttbyk-astaarad-alaflam-movie-app-ui,Basant ,Individual,5.0,IT & Tech,2025-04-29
23,صفحة معرض صور/أعمال (Gallery or Portfolio Page),https://www.freelanceyard.com/en/jobs/sfh-maard-soraaamal-gallery-or-portfolio-page,Basant ,Individual,3.2,IT & Tech,2025-04-29
24,واجهة تسجيل اشتراك في النشرة البريدية (Newsletter Signup),https://www.freelanceyard.com/en/jobs/oagh-tsgyl-ashtrak-fy-alnshr-albrydy-newsletter-signup,Basant ,Individual,5.0,IT & Tech,2025-04-29
25,صفحة مقارنة منتجات (Product Comparison Page),https://www.freelanceyard.com/en/jobs/sfh-mkarn-mntgat-product-comparison-page,Basant ,Individual,4.8,IT & Tech,2025-04-29
26,صفحة أسئلة شائعة (FAQ Page),https://www.freelanceyard.com/en/jobs/sfh-asyl-shayaa-faq-page,Basant ,Individual,3.2,IT & Tech,2025-04-29
27,صفحة تسجيل حضور فعالية (Event Registration Page),https://www.freelanceyard.com/en/jobs/sfh-tsgyl-hdor-faaaly-event-registration-page,Basant ,Individual,5.0,IT & Tech,2025-04-29
28,شاشة تسجيل وتتبع تمارين رياضية (Workout Tracker),https://www.freelanceyard.com/en/jobs/shash-tsgyl-ottbaa-tmaryn-ryady-workout-tracker,Basant ,Individual,4.8,IT & Tech,2025-04-29
29,تطبيق استماع بودكاست (Podcast App UI),https://www.freelanceyard.com/en/jobs/ttbyk-astmaaa-bodkast-podcast-app-ui,Basant ,Individual,4.8,IT & Tech,2025-04-29
30,صفحة معرض صور/أعمال (Gallery or Portfolio Page),https://www.freelanceyard.com/en/jobs/sfh-maard-soraaamal-gallery-or-portfolio-page,Basant ,Individual,5.0,IT & Tech,2025-04-29
31,شاشة صفحة خطأ (404 Error Page),https://www.freelanceyard.com/en/jobs/shash-sfh-khta-404-error-page,Basant ,Individual,5.0,IT & Tech,2025-04-29
32,شاشة صفحة مقالة / مدونة (Blog Post UI),https://www.freelanceyard.com/en/jobs/shash-sfh-mkal-mdon-blog-post-ui,Basant ,Individual,4.8,IT & Tech,2025-04-29
33,شاشة حجز مواعيد (Appointment Booking UI),https://www.freelanceyard.com/en/jobs/shash-hgz-moaaayd-appointment-booking-ui,Basant ,Individual,3.2,IT & Tech,2025-04-29
34,شاشة شات بسيطة (Chat UI),https://www.freelanceyard.com/en/jobs/shash-shat-bsyt-chat-ui-1,Basant ,Individual,3.2,IT & Tech,2025-04-29
35,شاشة شات بسيطة (Chat UI),https://www.freelanceyard.com/en/jobs/shash-shat-bsyt-chat-ui,Basant ,Individual,3.2,IT & Tech,2025-04-29
