Title,Link,client name,Type,Budget,Category,Date Posted
Simple sign up design,https://www.freelanceyard.com/en/jobs/simple-sign-up-design,Amary startup ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 30-04-2025
Basic Scripting for File Management,https://www.freelanceyard.com/en/jobs/basic-scripting-for-file-management,High Contrast ,Startup,Budget: 15 USD,(IT & Tech),Posted at: 30-04-2025
i want to create screen with xml,https://www.freelanceyard.com/en/jobs/i-want-to-create-screen-with-xml,Mina Nashaat ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 30-04-2025
Front End Developer Needed,https://www.freelanceyard.com/en/jobs/front-end-developer-needed,clinichim ,Startup,Budget: 40 - 100 USD,(IT & Tech),Posted at: 30-04-2025
Setting up a Simple Web Server,https://www.freelanceyard.com/en/jobs/setting-up-a-simple-web-server,Intent 3D ,Startup,Budget: 11 USD,(IT & Tech),Posted at: 30-04-2025
ui/ux,https://www.freelanceyard.com/en/jobs/uiux-2,Mostafa Salama ,Individual,Budget: 750 - 1000 EGP,(IT & Tech),Posted at: 30-04-2025
Clothing App – Initial Wireframe Design,https://www.freelanceyard.com/en/jobs/clothing-app-initial-wireframe-design,El-ghzaly ,Startup,Budget: 100 - 1000 EGP,(IT & Tech),Posted at: 29-04-2025
Text Splitter,https://www.freelanceyard.com/en/jobs/text-splitter-1,Sami Rabea ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
Frontend Developer Needed to Build Static Barbershop Website (HTML/CSS/JS),https://www.freelanceyard.com/en/jobs/frontend-developer-needed-to-build-static-barbershop-website-htmlcssjs-3,Elrahman ,Startup,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
Prioritize mobile-first design for core screens. ,https://www.freelanceyard.com/en/jobs/prioritize-mobile-first-design-for-core-screens,High Contrast ,Startup,Budget: 10 USD,(IT & Tech),Posted at: 29-04-2025
i want to create screen with xml,https://www.freelanceyard.com/en/jobs/i-want-to-create-screen-with-xml,Mina Nashaat ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
Enhance the UI's accessibility and refinement. ,https://www.freelanceyard.com/en/jobs/enhance-the-uis-accessibility-and-refinement,Intent 3D ,Startup,Budget: 11 USD,(IT & Tech),Posted at: 29-04-2025
Add new address page For E-commerce App,https://www.freelanceyard.com/en/jobs/add-new-address-page-for-e-commerce-app-1,UXera ,Startup,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
Edit Profile Page For E-commerce App,https://www.freelanceyard.com/en/jobs/edit-profile-page-for-e-commerce-app-1,UXera ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 29-04-2025
Profile Page – Settings List For E-commerce App,https://www.freelanceyard.com/en/jobs/profile-page-settings-list-for-e-commerce-app-1,UXera ,Startup,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
تطبيق حجز طاولة في مطعم (Restaurant Table Booking UI),https://www.freelanceyard.com/en/jobs/ttbyk-hgz-taol-fy-mtaam-restaurant-table-booking-ui,Basant ,Individual,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
تطبيق تتبع النوم (Sleep Tracker UI),https://www.freelanceyard.com/en/jobs/ttbyk-ttbaa-alnom-sleep-tracker-ui,Basant ,Individual,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
واجهة عرض كوبونات وعروض (Coupons App UI),https://www.freelanceyard.com/en/jobs/oagh-aard-kobonat-oaarod-coupons-app-ui,Basant ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
"Build the homepage, featuring its hero section. ",https://www.freelanceyard.com/en/jobs/build-the-homepage-featuring-its-hero-section-1,COMMERGENT ,Startup,Budget: 150 EGP,(IT & Tech),Posted at: 29-04-2025
شاشة تأكيد الطلب (Order Confirmation Page),https://www.freelanceyard.com/en/jobs/shash-takyd-altlb-order-confirmation-page,Basant ,Individual,Budget: 150 EGP,(IT & Tech),Posted at: 29-04-2025
واجهة تطبيق بريد إلكتروني (Email App UI),https://www.freelanceyard.com/en/jobs/oagh-ttbyk-bryd-alktrony-email-app-ui,Basant ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
تطبيق استعراض الأفلام (Movie App UI),https://www.freelanceyard.com/en/jobs/ttbyk-astaarad-alaflam-movie-app-ui,Basant ,Individual,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
صفحة معرض صور/أعمال (Gallery or Portfolio Page),https://www.freelanceyard.com/en/jobs/sfh-maard-soraaamal-gallery-or-portfolio-page,Basant ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
واجهة تسجيل اشتراك في النشرة البريدية (Newsletter Signup),https://www.freelanceyard.com/en/jobs/oagh-tsgyl-ashtrak-fy-alnshr-albrydy-newsletter-signup,Basant ,Individual,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
صفحة مقارنة منتجات (Product Comparison Page),https://www.freelanceyard.com/en/jobs/sfh-mkarn-mntgat-product-comparison-page,Basant ,Individual,Budget: 150 EGP,(IT & Tech),Posted at: 29-04-2025
صفحة أسئلة شائعة (FAQ Page),https://www.freelanceyard.com/en/jobs/sfh-asyl-shayaa-faq-page,Basant ,Individual,Budget: 100 EGP,(IT & Tech),Posted at: 29-04-2025
صفحة تسجيل حضور فعالية (Event Registration Page),https://www.freelanceyard.com/en/jobs/sfh-tsgyl-hdor-faaaly-event-registration-page,Basant ,Individual,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
شاشة تسجيل وتتبع تمارين رياضية (Workout Tracker),https://www.freelanceyard.com/en/jobs/shash-tsgyl-ottbaa-tmaryn-ryady-workout-tracker,Basant ,Individual,Budget: 150 EGP,(IT & Tech),Posted at: 29-04-2025
تطبيق استماع بودكاست (Podcast App UI),https://www.freelanceyard.com/en/jobs/ttbyk-astmaaa-bodkast-podcast-app-ui,Basant ,Individual,Budget: 150 EGP,(IT & Tech),Posted at: 29-04-2025
صفحة معرض صور/أعمال (Gallery or Portfolio Page),https://www.freelanceyard.com/en/jobs/sfh-maard-soraaamal-gallery-or-portfolio-page,Basant ,Individual,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
شاشة صفحة خطأ (404 Error Page),https://www.freelanceyard.com/en/jobs/shash-sfh-khta-404-error-page,Basant ,Individual,Budget: 5 USD,(IT & Tech),Posted at: 29-04-2025
شاشة صفحة مقالة / مدونة (Blog Post UI),https://www.freelanceyard.com/en/jobs/shash-sfh-mkal-mdon-blog-post-ui,Basant ,Individual,Budget: 150 EGP,(IT & Tech),Posted at: 29-04-2025
