ID,ID_skills_jobs,Tags_en
1,1,Figma
2,1,UI UX design
3,1,Photoshop
4,1,Design a website
5,1,Create a website
6,1,Web development
7,1,Site design
8,2,Software development
9,2,Site management
10,2,programming
11,2,Site programming
12,2,Python
13,2,PHP
14,2,Java Script
15,2,HTML
16,2,CSS
17,3,Electronic store design
18,3,Create an electronic store
19,3,Python
20,3,PHP
21,3,CSS
22,3,Java Script
23,3,programming
24,3,Software development
25,3,Site programming
26,4,PostgreSQL
27,4,programming
28,4,Software development
29,4,Database programming
30,4,Udo
31,5,Design a website
32,5,Android programming
33,5,IOS programming
34,5,programming
35,5,Site programming
36,5,Application programming
37,5,Application development
38,5,Create an app
39,5,Software development
40,5,Software engineering
41,6,artificial intelligence
42,6,Design a website
43,6,Create an electronic store
44,6,programming
45,6,Electronic store design
46,6,Site programming
47,6,Create a website
48,6,Software engineering
49,6,Software development
50,7,programming
51,7,Software development
52,7,Database programming
53,7,Site programming
54,7,Application programming
55,8,programming
56,8,Site programming
57,8,Java Script
58,8,Crisplasts installation
59,9,Explining and repairing errors
60,9,Programming correction
61,9,Application development
62,9,Mobile applications test
63,9,Test of the use of use
64,9,Hurry test
65,9,Software test
66,10,programming
67,10,Software development
68,10,Database programming
69,10,Application programming
70,11,Python
71,11,web scraping
72,11,Data extraction
73,11,programming
74,11,Software development
75,11,Software engineering
76,12,ERP institutions planning
77,12,programming
78,12,Desktop applications programming
79,12,Software engineering
80,12,Software development
81,12,Application development
82,13,programming
83,13,Software development
84,13,Database programming
85,14,Software development
86,14,Site management
87,14,programming
88,14,Site programming
89,14,Python
90,14,PHP
91,14,Java Script
92,14,HTML
93,14,CSS
94,15,Graphic design
95,15,programming
96,15,Software development
97,15,Database programming
98,15,Site programming
99,16,Data photography
100,16,Data analysis
101,16,Microsoft Excel
102,16,Figma
103,16,Power BI
104,16,Dash Board Design
105,17,Photoshop
106,17,Graphic design
107,17,Creative design
108,17,Announcement design
109,17,Create a landing page
110,17,Design landing pages
111,17,programming
112,17,Site programming
113,18,Design a website
114,18,Site programming
115,18,Create a website
116,18,Create a WordPress website
117,18,WordPress
118,18,MySQL
119,18,Potterb
120,18,PHP
121,18,Java Script
122,18,CSS
123,18,HTML
124,18,Creative design
125,18,The design idea
126,19,Writing content
127,19,Design a website
128,19,Create a website
129,19,Web development
130,19,Creative design
131,19,programming
132,19,Software engineering
133,20,programming
134,20,Site programming
135,20,Create a website
136,20,Security and protection of sites
137,20,Python
138,20,PHP
139,20,CSS
140,20,Java Script
141,21,flutter
142,21,Front End
143,21,programming
144,21,Software development
145,21,Site programming
146,21,Applications design
147,22,Site programming
148,22,IOS programming
149,22,Android programming
150,22,Software engineering
151,22,Application development
152,22,Software development
153,23,PLC
154,23,C# Programming
155,23,programming
156,23,Software development
157,23,Software engineering
158,24,Software development
159,24,Software engineering
160,24,Software test
161,24,Learn programming
162,24,Linear programming
163,24,Integrated systems
164,24,programming
165,24,Programming correction
166,24,Application programming
167,24,Site programming
168,25,flutter
169,25,PHP
170,25,Back End
171,25,Front End
172,25,Application programming
173,25,IOS programming
174,25,Android programming
175,25,IPhone applications programming
176,25,Dart
177,26,Electronic store design
178,26,Creative design
179,26,User interface design
180,26,UI UX design
181,26,User experience design
182,26,adobe xd
183,26,Adobe Illustrator
184,27,User interface design
185,27,programming
186,27,Front End
187,27,Back End
188,27,Search engines improvement
189,27,Data analysis
190,27,C# Programming
191,27,Java Script
192,28,Laraville
193,28,Back End
194,28,Site programming
195,28,Dash Board Design
196,28,Software engineering
197,28,Software development
198,28,Site test
199,28,UI UX design
200,28,Android programming
201,29,Graphic design
202,29,Creative design
203,29,Software development
204,29,Site programming
205,29,Shubai
206,29,Choppay templates
207,30,Internet marketing
208,30,Design a website
209,30,Site programming
210,30,Web development
211,30,Site design
212,30,Web services
213,30,Full web development
214,30,Create a website
215,31,Back End
216,31,User interface design
217,31,Application programming interface
218,31,React
219,31,React Native
220,31,Next.js
221,31,PHP
222,31,Laraville
223,32,Microsoft Office
224,32,Microsoft Excel
225,32,Software development
226,32,programming
227,32,Database programming
228,33,Laraville
229,33,vuejs
230,33,PHP
231,33,Java Script
232,33,programming
233,33,Software development
234,33,Site programming
235,34,programming
236,34,Arabic
237,34,User experience design
238,34,User interface design
239,34,UI UX design
240,34,Smart phone applications design
241,34,Applications design
242,34,Swift
243,34,Ionic
244,34,Kotlan
245,34,Java
246,34,IOS programming
247,34,Application programming
