ID,Title,Posted,Budget,Duration,Number of Offers,Tags,Link
1,إعادة design web باستخدام figma,from 5 hours,$200.00 ,10 days,24,"Figma, design UI UX, photoshop, design web إلكتروني, create web إلكتروني, devweb, design web",https://mostaql.com/project/1080149-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-figma
2,مصمم ومطور واجهات Front-End لdevweb قائم وcreate نموذج أولي على Figma,from 3 hours,$60.00 ,10 days,17," application development ,  management web, programing, programing web, python, PHP, java script, HTML, CSS",https://mostaql.com/project/1080193-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-front-end-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%82%D8%A7%D8%A6%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%A3%D9%88%D9%84%D9%8A-%D8%B9%D9%84%D9%89-figma
3,سوق إلكتروني متخصص في بيع هدايا,from hour,"$1,550.00 ",15 days,14,"design  online market, create  online market, python, PHP, CSS, java script, programing,  application development , programing web",https://mostaql.com/project/1080190-%D8%B3%D9%88%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%A8%D9%8A%D8%B9-%D9%87%D8%AF%D8%A7%D9%8A%D8%A7
4,استكمال تنصيب وتهيئة Odoo Community على مساحة كلاود لمشروع متعدد الشركات,from hours,$500.00 ,5 days,3,"PostgreSQL, programing,  application development , programing data base,  odoo  ",https://mostaql.com/project/1080213-%D8%A7%D8%B3%D8%AA%D9%83%D9%85%D8%A7%D9%84-%D8%AA%D9%86%D8%B5%D9%8A%D8%A8-%D9%88%D8%AA%D9%87%D9%8A%D8%A6%D8%A9-odoo-community-%D8%B9%D9%84%D9%89-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84%D8%A7%D9%88%D8%AF-%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A7%D8%AA
5,مشروع متعدد البائعين توصيل وتجارة إلكترونية وحجز سيارات,from 7 hours,$500.00 ,15 days,7,"design web إلكتروني, programing android , programing iOS, programing, programing web, programing  apps , dev apps , create  application,  application development ,programming engineer",https://mostaql.com/project/1080085-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%A6%D8%B9%D9%8A%D9%86-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D9%88%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
6,design متجر لتركيب وبيع العطور يعتمد على الذكاء الاصطناعي,from 6 hours,"$1,000.00 ",60 days,8,"الذكاء الاصطناعي, design web إلكتروني, create  online market, programing, design  online market, programing web, create web إلكتروني,programming engineer,  application development ",https://mostaql.com/project/1080098-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%AA%D8%AC%D8%B1-%D9%84%D8%AA%D8%B1%D9%83%D9%8A%D8%A8-%D9%88%D8%A8%D9%8A%D8%B9-%D8%A7%D9%84%D8%B9%D8%B7%D9%88%D8%B1-%D9%8A%D8%B9%D8%AA%D9%85%D8%AF-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A
7,programing  application مزاد مباشر و online market ومجموعة خدمات,from 3 hours,"$1,500.00 ",30 days,9,"programing,  application development , programing data base, programing web, programing  apps ",https://mostaql.com/project/1080192-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%85%D8%B2%D8%A7%D8%AF-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D9%88%D9%85%D8%AA%D8%AC%D8%B1-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%88%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA
8,إضافة إطار لجميع ملفات PDF الموجودة في Google Drive ورفع النتائج بنفس الترتيب والتنظيم,from 3 hours,$50.00 ,3 days,8,"programing, programing web, java script, تركيب سكربتات",https://mostaql.com/project/1080182-%D8%A5%D8%B6%D8%A7%D9%81%D8%A9-%D8%A5%D8%B7%D8%A7%D8%B1-%D9%84%D8%AC%D9%85%D9%8A%D8%B9-%D9%85%D9%84%D9%81%D8%A7%D8%AA-pdf-%D8%A7%D9%84%D9%85%D9%88%D8%AC%D9%88%D8%AF%D8%A9-%D9%81%D9%8A-google-drive-%D9%88%D8%B1%D9%81%D8%B9-%D8%A7%D9%84%D9%86%D8%AA%D8%A7%D8%A6%D8%AC-%D8%A8%D9%86%D9%81%D8%B3-%D8%A7%D9%84%D8%AA%D8%B1%D8%AA%D9%8A%D8%A8-%D9%88%D8%A7%D9%84%D8%AA%D9%86%D8%B8%D9%8A%D9%85
9,testing تقني شامل ل application حجوزات نوادي مع كتابة الحالات الtestingية التفصيلية,from 6 hours,$275.00 ,7 days,4,"استكشاف الأخطاء وإصلاحها, تصحيح برمجي, dev apps , testing  applicationات الجوال, testing قابلية الاستخدام, testing الاختراق, testing  programes ",https://mostaql.com/project/1080107-%D8%A7%D8%AE%D8%AA%D8%A8%D8%A7%D8%B1-%D8%AA%D9%82%D9%86%D9%8A-%D8%B4%D8%A7%D9%85%D9%84-%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AD%D8%AC%D9%88%D8%B2%D8%A7%D8%AA-%D9%86%D9%88%D8%A7%D8%AF%D9%8A-%D9%85%D8%B9-%D9%83%D8%AA%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D8%AD%D8%A7%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%AE%D8%AA%D8%A8%D8%A7%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D9%81%D8%B5%D9%8A%D9%84%D9%8A%D8%A9
10,مبرمج kotlin و laravel لتعديل على سورس كود ل application تاكسي من web codecanyon,from 3 hours,$275.00 ,10 days,2,"programing,  application development , programing data base, programing  apps ",https://mostaql.com/project/1080181-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-kotlin-%D9%88-laravel-%D9%84%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%B9%D9%84%D9%89-%D8%B3%D9%88%D8%B1%D8%B3-%D9%83%D9%88%D8%AF-%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AA%D8%A7%D9%83%D8%B3%D9%8A-%D9%85%D9%86-%D9%85%D9%88%D9%82%D8%B9-codecanyon
11,create سكريبت لاستخراج بيانات,from 5 hours,$25.00 ,3 days,27,"python, web scraping,  data extraction , programing,  application development ,programming engineer",https://mostaql.com/project/1080148-%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D8%B3%D9%83%D8%B1%D9%8A%D8%A8%D8%AA-%D9%84%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1%D8%A7%D8%AC-%D8%A8%D9%8A%D8%A7%D9%86%D8%A7%D8%AA
12,نظام ERP يدعم عمليات البيع والشراء وcreate نظام عمولات للمسوقين,from 5 hours,$237.50 ,30 days,6,"تخطيط موارد المؤسسات ERP, programing, programing  applicationات سطح المكتب,programming engineer,  application development , dev apps ",https://mostaql.com/project/1080147-%D9%86%D8%B8%D8%A7%D9%85-erp-%D9%8A%D8%AF%D8%B9%D9%85-%D8%B9%D9%85%D9%84%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D9%8A%D8%B9-%D9%88%D8%A7%D9%84%D8%B4%D8%B1%D8%A7%D8%A1-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D8%B8%D8%A7%D9%85-%D8%B9%D9%85%D9%88%D9%84%D8%A7%D8%AA-%D9%84%D9%84%D9%85%D8%B3%D9%88%D9%82%D9%8A%D9%86
