ID,Title,Category_English,Posted,Avg offer,Duration,Number of Offers,Tags,Tags_en,Link
1,إعادة تصميم موقع باستخدام figma,Web Development,منذ 5 ساعات,$200.00 ,10 أيام,24,"Figma, تصميم UI UX, فوتوشوب, تصميم موقع إلكتروني, إنشاء موقع إلكتروني, تطوير الويب, تصميم مواقع","Figma, design UI UX, photoshop, design web إلكتروني, create web إلكتروني, devweb, design web",https://mostaql.com/project/1080149-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-figma
2,مصمم ومطور واجهات Front-End لتطوير موقع قائم وإنشاء نموذج أولي على Figma,Web Development,منذ 3 ساعات,$60.00 ,10 أيام,17,"تطوير البرمجيات, إدارة المواقع, برمجة, برمجة مواقع, بايثون, PHP, جافا سكريبت, HTML, CSS"," application development ,  management web, programing, programing web, python, PHP, java script, HTML, CSS",https://mostaql.com/project/1080193-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-front-end-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%82%D8%A7%D8%A6%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%A3%D9%88%D9%84%D9%8A-%D8%B9%D9%84%D9%89-figma
3,سوق إلكتروني متخصص في بيع هدايا,Web Development,منذ ساعة,"$1,550.00 ",15 يوما,14,"تصميم متجر إلكتروني, إنشاء متجر إلكتروني, بايثون, PHP, CSS, جافا سكريبت, برمجة, تطوير البرمجيات, برمجة مواقع","design  online market, create  online market, python, PHP, CSS, java script, programing,  application development , programing web",https://mostaql.com/project/1080190-%D8%B3%D9%88%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%A8%D9%8A%D8%B9-%D9%87%D8%AF%D8%A7%D9%8A%D8%A7
4,استكمال تنصيب وتهيئة Odoo Community على مساحة كلاود لمشروع متعدد الشركات,Web Development,منذ ساعتين,$500.00 ,5 أيام,3,"PostgreSQL, برمجة, تطوير البرمجيات, برمجة قواعد البيانات, أودو","PostgreSQL, programing,  application development , programing data base,  odoo  ",https://mostaql.com/project/1080213-%D8%A7%D8%B3%D8%AA%D9%83%D9%85%D8%A7%D9%84-%D8%AA%D9%86%D8%B5%D9%8A%D8%A8-%D9%88%D8%AA%D9%87%D9%8A%D8%A6%D8%A9-odoo-community-%D8%B9%D9%84%D9%89-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84%D8%A7%D9%88%D8%AF-%D9%84%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A7%D8%AA
5,مشروع متعدد البائعين توصيل وتجارة إلكترونية وحجز سيارات,Web Development,منذ 7 ساعات,$500.00 ,15 يوما,7,"تصميم موقع إلكتروني, برمجة أندرويد, برمجة iOS, برمجة, برمجة مواقع, برمجة التطبيقات, تطوير التطبيقات, إنشاء تطبيق, تطوير البرمجيات, هندسة البرمجيات","design web إلكتروني, programing android , programing iOS, programing, programing web, programing  apps , dev apps , create  application,  application development ,programming engineer",https://mostaql.com/project/1080085-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D9%85%D8%AA%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%A8%D8%A7%D8%A6%D8%B9%D9%8A%D9%86-%D8%AA%D9%88%D8%B5%D9%8A%D9%84-%D9%88%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D8%AD%D8%AC%D8%B2-%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA
6,تصميم متجر لتركيب وبيع العطور يعتمد على الذكاء الاصطناعي,Web Development,منذ 6 ساعات,"$1,000.00 ",60 يوما,8,"الذكاء الاصطناعي, تصميم موقع إلكتروني, إنشاء متجر إلكتروني, برمجة, تصميم متجر إلكتروني, برمجة مواقع, إنشاء موقع إلكتروني, هندسة البرمجيات, تطوير البرمجيات","AI, design web إلكتروني, create  online market, programing, design  online market, programing web, create web إلكتروني,programming engineer,  application development ",https://mostaql.com/project/1080098-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D8%AA%D8%AC%D8%B1-%D9%84%D8%AA%D8%B1%D9%83%D9%8A%D8%A8-%D9%88%D8%A8%D9%8A%D8%B9-%D8%A7%D9%84%D8%B9%D8%B7%D9%88%D8%B1-%D9%8A%D8%B9%D8%AA%D9%85%D8%AF-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A
7,برمجة تطبيق مزاد مباشر ومتجر الكتروني ومجموعة خدمات,Mobile Development,منذ 3 ساعات,"$1,500.00 ",30 يوما,9,"برمجة, تطوير البرمجيات, برمجة قواعد البيانات, برمجة مواقع, برمجة التطبيقات","programing,  application development , programing data base, programing web, programing  apps ",https://mostaql.com/project/1080192-%D8%A8%D8%B1%D9%85%D8%AC%D8%A9-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D9%85%D8%B2%D8%A7%D8%AF-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D9%88%D9%85%D8%AA%D8%AC%D8%B1-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%88%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA
8,إضافة إطار لجميع ملفات PDF الموجودة في Google Drive ورفع النتائج بنفس الترتيب والتنظيم,Software Engineering,منذ 3 ساعات,$50.00 ,3 أيام,8,"برمجة, برمجة مواقع, جافا سكريبت, تركيب سكربتات","programing, programing web, java script, scripting",https://mostaql.com/project/1080182-%D8%A5%D8%B6%D8%A7%D9%81%D8%A9-%D8%A5%D8%B7%D8%A7%D8%B1-%D9%84%D8%AC%D9%85%D9%8A%D8%B9-%D9%85%D9%84%D9%81%D8%A7%D8%AA-pdf-%D8%A7%D9%84%D9%85%D9%88%D8%AC%D9%88%D8%AF%D8%A9-%D9%81%D9%8A-google-drive-%D9%88%D8%B1%D9%81%D8%B9-%D8%A7%D9%84%D9%86%D8%AA%D8%A7%D8%A6%D8%AC-%D8%A8%D9%86%D9%81%D8%B3-%D8%A7%D9%84%D8%AA%D8%B1%D8%AA%D9%8A%D8%A8-%D9%88%D8%A7%D9%84%D8%AA%D9%86%D8%B8%D9%8A%D9%85
9,اختبار تقني شامل لتطبيق حجوزات نوادي مع كتابة الحالات الاختبارية التفصيلية,Web Development,منذ 6 ساعات,$275.00 ,7 أيام,4,"استكشاف الأخطاء وإصلاحها, تصحيح برمجي, تطوير التطبيقات, اختبار تطبيقات الجوال, اختبار قابلية الاستخدام, اختبار الاختراق, اختبار البرمجيات","استكشاف الأخطاء وإصلاحها, debugging, dev apps , testing  applicationات الجوال, testing قابلية الاستخدام, testing الاختراق, testing  programes ",https://mostaql.com/project/1080107-%D8%A7%D8%AE%D8%AA%D8%A8%D8%A7%D8%B1-%D8%AA%D9%82%D9%86%D9%8A-%D8%B4%D8%A7%D9%85%D9%84-%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AD%D8%AC%D9%88%D8%B2%D8%A7%D8%AA-%D9%86%D9%88%D8%A7%D8%AF%D9%8A-%D9%85%D8%B9-%D9%83%D8%AA%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D8%AD%D8%A7%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%AE%D8%AA%D8%A8%D8%A7%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D9%81%D8%B5%D9%8A%D9%84%D9%8A%D8%A9
10,مبرمج kotlin و laravel لتعديل على سورس كود لتطبيق تاكسي من موقع codecanyon,Web Development,منذ 3 ساعات,$275.00 ,10 أيام,2,"برمجة, تطوير البرمجيات, برمجة قواعد البيانات, برمجة التطبيقات","programing,  application development , programing data base, programing  apps ",https://mostaql.com/project/1080181-%D9%85%D8%A8%D8%B1%D9%85%D8%AC-kotlin-%D9%88-laravel-%D9%84%D8%AA%D8%B9%D8%AF%D9%8A%D9%84-%D8%B9%D9%84%D9%89-%D8%B3%D9%88%D8%B1%D8%B3-%D9%83%D9%88%D8%AF-%D9%84%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AA%D8%A7%D9%83%D8%B3%D9%8A-%D9%85%D9%86-%D9%85%D9%88%D9%82%D8%B9-codecanyon
