ID,Title,Category_English,category_arabic,Posted,Avg offer,Duration(Days),Number of Offers,Tags,Tags_en,Link
1,إعادة تصميم موقع باستخدام figma,Web Development,تطوير الويب,2025-05-02,200.00 ,10.0,24,Figma,Figma,https://mostaql.com/project/1080149-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-figma
1,إعادة تصميم موقع باستخدام figma,Web Development,تطوير الويب,2025-05-02,200.00 ,10.0,24,تصميم UI UX,UI UX design,https://mostaql.com/project/1080149-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-figma
1,إعادة تصميم موقع باستخدام figma,Web Development,تطوير الويب,2025-05-02,200.00 ,10.0,24,فوتوشوب,Photoshop,https://mostaql.com/project/1080149-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-figma
1,إعادة تصميم موقع باستخدام figma,Web Development,تطوير الويب,2025-05-02,200.00 ,10.0,24,تصميم موقع إلكتروني,Design a website,https://mostaql.com/project/1080149-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-figma
1,إعادة تصميم موقع باستخدام figma,Web Development,تطوير الويب,2025-05-02,200.00 ,10.0,24,إنشاء موقع إلكتروني,Create a website,https://mostaql.com/project/1080149-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-figma
1,إعادة تصميم موقع باستخدام figma,Web Development,تطوير الويب,2025-05-02,200.00 ,10.0,24,تطوير الويب,Web development,https://mostaql.com/project/1080149-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-figma
1,إعادة تصميم موقع باستخدام figma,Web Development,تطوير الويب,2025-05-02,200.00 ,10.0,24,تصميم مواقع,Site design,https://mostaql.com/project/1080149-%D8%A5%D8%B9%D8%A7%D8%AF%D8%A9-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D9%85%D9%88%D9%82%D8%B9-%D8%A8%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-figma
2,مصمم ومطور واجهات Front-End لتطوير موقع قائم وإنشاء نموذج أولي على Figma,Web Development,تطوير الويب,2025-05-02,60.00 ,10.0,17,تطوير البرمجيات,Software development,https://mostaql.com/project/1080193-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-front-end-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%82%D8%A7%D8%A6%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%A3%D9%88%D9%84%D9%8A-%D8%B9%D9%84%D9%89-figma
2,مصمم ومطور واجهات Front-End لتطوير موقع قائم وإنشاء نموذج أولي على Figma,Web Development,تطوير الويب,2025-05-02,60.00 ,10.0,17,إدارة المواقع,Site management,https://mostaql.com/project/1080193-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-front-end-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%82%D8%A7%D8%A6%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%A3%D9%88%D9%84%D9%8A-%D8%B9%D9%84%D9%89-figma
2,مصمم ومطور واجهات Front-End لتطوير موقع قائم وإنشاء نموذج أولي على Figma,Web Development,تطوير الويب,2025-05-02,60.00 ,10.0,17,برمجة,programming,https://mostaql.com/project/1080193-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-front-end-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%82%D8%A7%D8%A6%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%A3%D9%88%D9%84%D9%8A-%D8%B9%D9%84%D9%89-figma
2,مصمم ومطور واجهات Front-End لتطوير موقع قائم وإنشاء نموذج أولي على Figma,Web Development,تطوير الويب,2025-05-02,60.00 ,10.0,17,برمجة مواقع,Site programming,https://mostaql.com/project/1080193-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-front-end-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%82%D8%A7%D8%A6%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%A3%D9%88%D9%84%D9%8A-%D8%B9%D9%84%D9%89-figma
2,مصمم ومطور واجهات Front-End لتطوير موقع قائم وإنشاء نموذج أولي على Figma,Web Development,تطوير الويب,2025-05-02,60.00 ,10.0,17,بايثون,Python,https://mostaql.com/project/1080193-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-front-end-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%82%D8%A7%D8%A6%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%A3%D9%88%D9%84%D9%8A-%D8%B9%D9%84%D9%89-figma
2,مصمم ومطور واجهات Front-End لتطوير موقع قائم وإنشاء نموذج أولي على Figma,Web Development,تطوير الويب,2025-05-02,60.00 ,10.0,17,PHP,PHP,https://mostaql.com/project/1080193-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-front-end-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%82%D8%A7%D8%A6%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%A3%D9%88%D9%84%D9%8A-%D8%B9%D9%84%D9%89-figma
2,مصمم ومطور واجهات Front-End لتطوير موقع قائم وإنشاء نموذج أولي على Figma,Web Development,تطوير الويب,2025-05-02,60.00 ,10.0,17,جافا سكريبت,Java Script,https://mostaql.com/project/1080193-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-front-end-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%82%D8%A7%D8%A6%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%A3%D9%88%D9%84%D9%8A-%D8%B9%D9%84%D9%89-figma
2,مصمم ومطور واجهات Front-End لتطوير موقع قائم وإنشاء نموذج أولي على Figma,Web Development,تطوير الويب,2025-05-02,60.00 ,10.0,17,HTML,HTML,https://mostaql.com/project/1080193-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-front-end-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%82%D8%A7%D8%A6%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%A3%D9%88%D9%84%D9%8A-%D8%B9%D9%84%D9%89-figma
2,مصمم ومطور واجهات Front-End لتطوير موقع قائم وإنشاء نموذج أولي على Figma,Web Development,تطوير الويب,2025-05-02,60.00 ,10.0,17,CSS,CSS,https://mostaql.com/project/1080193-%D9%85%D8%B5%D9%85%D9%85-%D9%88%D9%85%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D8%AC%D9%87%D8%A7%D8%AA-front-end-%D9%84%D8%AA%D8%B7%D9%88%D9%8A%D8%B1-%D9%85%D9%88%D9%82%D8%B9-%D9%82%D8%A7%D8%A6%D9%85-%D9%88%D8%A5%D9%86%D8%B4%D8%A7%D8%A1-%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D8%A3%D9%88%D9%84%D9%8A-%D8%B9%D9%84%D9%89-figma
3,سوق إلكتروني متخصص في بيع هدايا,Web Development,تطوير الويب,2025-05-02,"1,550.00 ",15.0,14,تصميم متجر إلكتروني,Electronic store design,https://mostaql.com/project/1080190-%D8%B3%D9%88%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%A8%D9%8A%D8%B9-%D9%87%D8%AF%D8%A7%D9%8A%D8%A7
3,سوق إلكتروني متخصص في بيع هدايا,Web Development,تطوير الويب,2025-05-02,"1,550.00 ",15.0,14,إنشاء متجر إلكتروني,Create an electronic store,https://mostaql.com/project/1080190-%D8%B3%D9%88%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%A8%D9%8A%D8%B9-%D9%87%D8%AF%D8%A7%D9%8A%D8%A7
3,سوق إلكتروني متخصص في بيع هدايا,Web Development,تطوير الويب,2025-05-02,"1,550.00 ",15.0,14,بايثون,Python,https://mostaql.com/project/1080190-%D8%B3%D9%88%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%A8%D9%8A%D8%B9-%D9%87%D8%AF%D8%A7%D9%8A%D8%A7
3,سوق إلكتروني متخصص في بيع هدايا,Web Development,تطوير الويب,2025-05-02,"1,550.00 ",15.0,14,PHP,PHP,https://mostaql.com/project/1080190-%D8%B3%D9%88%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%A8%D9%8A%D8%B9-%D9%87%D8%AF%D8%A7%D9%8A%D8%A7
3,سوق إلكتروني متخصص في بيع هدايا,Web Development,تطوير الويب,2025-05-02,"1,550.00 ",15.0,14,CSS,CSS,https://mostaql.com/project/1080190-%D8%B3%D9%88%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%A8%D9%8A%D8%B9-%D9%87%D8%AF%D8%A7%D9%8A%D8%A7
3,سوق إلكتروني متخصص في بيع هدايا,Web Development,تطوير الويب,2025-05-02,"1,550.00 ",15.0,14,جافا سكريبت,Java Script,https://mostaql.com/project/1080190-%D8%B3%D9%88%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%A8%D9%8A%D8%B9-%D9%87%D8%AF%D8%A7%D9%8A%D8%A7
3,سوق إلكتروني متخصص في بيع هدايا,Web Development,تطوير الويب,2025-05-02,"1,550.00 ",15.0,14,برمجة,programming,https://mostaql.com/project/1080190-%D8%B3%D9%88%D9%82-%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A-%D9%85%D8%AA%D8%AE%D8%B5%D8%B5-%D9%81%D9%8A-%D8%A8%D9%8A%D8%B9-%D9%87%D8%AF%D8%A7%D9%8A%D8%A7
