index,ID,Skills
1,1,Audio Production
2,1,Audio Services
3,1,English (US) Translator
4,1,Transcription
5,1,Voice Talent
6,2,Audio Production
7,2,Audio Services
8,2,English (US) Translator
9,2,Transcription
10,2,Voice Talent
11,3,After Effects
12,3,Animation
13,3,Motion Graphics
14,3,Video Editing
15,3,Video Services
16,4,Audio Production
17,4,Audio Services
18,4,Editing
19,4,Music
20,4,Voice Talent
21,5,Facebook Marketing
22,5,Internet Marketing
23,5,Pinterest
24,5,Social Media Marketing
25,5,Twitter
26,6,Abnormal Psychology
27,6,Acting
28,6,Book Writing
29,6,Psychology
30,6,Screenwriting
31,7,Accounting
32,7,Business Analysis
33,7,Finance
34,7,Financial Analysis
35,7,Financial Research
36,8,Communications
37,8,Investigative Journalism
38,9,Facebook Marketing
39,9,Google Plus
40,9,Social Media Marketing
41,9,Twitter
42,9,Virtual Assistant
43,10,Business Development
44,10,Canva
45,10,Data Entry
46,10,Google Sheets
47,10,Virtual Assistant
48,12,3D Modelling
49,12,3D Rendering
50,12,Building Architecture
51,12,Home Design
52,12,Interior Design
53,13,Google Maps API
54,13,Graphic Design
55,13,HTML
56,13,PHP
57,13,Website Design
58,14,Facebook Marketing
59,14,Internet Marketing
60,14,Marketing
61,14,Social Media Marketing
62,14,Social Networking
63,15,Data Entry
64,15,HTML
65,15,PHP
66,15,Website Design
67,15,WordPress
68,16,API
69,16,Flutter
70,16,Google APIs
71,16,Laravel
72,16,PHP
73,17,Article Writing
74,17,Content Writing
75,17,Copywriting
76,17,Ghostwriting
77,17,Research Writing
78,18,Fashion Design
79,18,Fashion Modeling
80,19,Video Production
81,19,Videography
82,20,Photo Editing
83,20,Photoshop
84,21,Graphic Design
85,21,HTML
86,21,MySQL
87,21,PHP
88,21,Website Design
89,22,Advertising
90,22,Facebook Marketing
91,22,Internet Marketing
92,22,Marketing
93,22,Social Media Marketing
94,23,Accounting
95,23,Excel
96,23,Finance
97,23,Financial Analysis
98,23,Financial Research
99,24,Adobe InDesign
100,24,Data Entry
101,24,Excel
102,24,PDF
103,24,Word
104,25,English (US) Translator
105,25,Portuguese (Brazil) Translator
106,25,Portuguese Translator
107,25,Spanish Translator
108,25,Translation
109,26,Advertising
110,26,Facebook Marketing
111,26,Internet Marketing
112,26,Marketing
113,26,Social Media Marketing
114,27,English (US) Translator
115,27,French Translator
116,27,Proofreading
117,27,Transcription
118,27,Virtual Assistant
119,28,Odoo
120,28,PHP
121,28,PostgreSQL
122,28,Python
123,28,Software Architecture
124,29,Graphic Design
125,29,Website Design
126,30,Amazon Web Services
127,30,eCommerce
128,30,Internet Marketing
129,30,SEO
130,31,Castilian Spanish Translator
131,31,English (US) Translator
132,31,Proofreading
133,31,Spanish Translator
134,31,Translation
135,32,Graphic Design
136,32,Illustrator
137,32,Logo Design
138,32,Photoshop
139,32,Photoshop Design
140,33,Contracts
141,33,Employment Law
142,33,Legal
143,33,Legal Research
144,33,Legal Writing
145,34,Business Development
146,34,Digital Marketing
147,34,Sales
148,34,Telemarketing
149,34,Virtual Assistant
150,35,Customer Support
151,35,Instagram
152,35,System Admin
153,35,Technical Support
154,36,Email Handling
155,36,Google Search
156,36,Infrastructure Architecture
157,36,Virtual Assistant
158,37,Administrative Support
159,37,Project Management
160,37,Property Management
161,37,Virtual Assistant
162,38,Human Resources
163,38,Recruitment
164,38,Talent Acquisition
165,38,Technical Recruiter
166,39,Graphic Design
167,39,Illustration
168,39,Illustrator
169,39,Logo Design
170,39,Photoshop
171,40,Human Resources
172,40,Linkedin
173,40,LinkedIn Recruiting
174,40,Talent Acquisition
175,40,Technical Recruiter
176,41,Article Writing
177,41,Blog
178,41,Content Writing
179,41,Copywriting
180,41,Ghostwriting
181,42,Human Resources
182,42,Recruitment
183,42,Talent Acquisition
184,42,Technical Recruiter
185,43,Human Resources
186,43,Recruitment
187,43,Talent Acquisition
188,43,Technical Recruiter
189,44,Data Entry
190,44,Data Processing
191,44,Excel
192,44,Virtual Assistant
193,44,Web Search
194,45,Human Resources
195,45,LinkedIn Recruiting
196,45,Recruitment
197,45,Technical Recruiter
198,46,Leads
199,46,Marketing
200,46,Sales
201,46,Telemarketing
202,46,Telephone Handling
203,47,Advertising
204,47,Facebook Marketing
205,47,Internet Marketing
206,47,Sales
207,47,Social Media Marketing
208,48,Accounting
209,48,Project Management
210,48,Real Estate
211,49,Accounting
212,49,Business Analysis
213,49,eCommerce
214,49,Legal
215,49,Research Writing
216,50,CSS
217,50,HTML
218,50,JavaScript
219,50,Website Design
