ID,Title,Bids,Days Left to pid,Price,Type,Skills,Link
1,Convert Medical Records to Excel,147 bids,6 days left,$14 (Avg Bid),Fixed,"Data Entry, Data Processing, Excel, PDF",https://www.freelancer.com/projects/excel/convert-medical-records-excel
2,Certified Spanish-English Legal Translation -- 2,5 bids,6 days left,$70 (Avg Bid),Fixed,"Castilian Spanish Translator, English (UK) Translator, English (US) Translator, Spanish Translator, Translation",https://www.freelancer.com/projects/translation/certified-spanish-english-legal-39358537
3,Shopify Automation with n8n Expert,31 bids,6 days left,$74 (Avg Bid),Fixed,"Excel, PHP, Salesforce.com, Shopify, Zoho",https://www.freelancer.com/projects/salesforce-com/shopify-automation-with-expert
4,Consulting Service Contract Creation,7 bids,6 days left,$7 - $18,Fixed,"Contracts, Legal, Legal Research, Legal Writing, Patents",https://www.freelancer.com/projects/legal/consulting-service-contract-creation
5,Photo Enhancement for Newspaper Article,44 bids,6 days left,$47 (Avg Bid),Fixed,"Adobe Lightroom, Photo Editing, Photography, Photoshop, Photoshop Design",https://www.freelancer.com/projects/photoshop/photo-enhancement-for-newspaper-article
6,Modern Podcast Logo and Podcast Cover Design,134 bids,6 days left,$86 (Avg Bid),Fixed,"Graphic Design, Illustrator, Logo Design, Photoshop",https://www.freelancer.com/projects/logo-design/modern-podcast-logo-design-39358485
7,Modern Logo Design with Chess Piece,83 bids,6 days left,$59 (Avg Bid),Fixed,"Graphic Design, Illustration, Illustrator, Logo Design, Photoshop",https://www.freelancer.com/projects/logo-design/modern-logo-design-with-chess
8,Modern Logo Design for multi-Grocery App,39 bids,6 days left,$96 (Avg Bid),Fixed,"Graphic Design, Illustrator, Logo Design, Website Design",https://www.freelancer.com/projects/graphic-design/modern-logo-design-for-multi-39358486
9,3D Printable Victory Pose Figure,26 bids,6 days left,$67 (Avg Bid),Fixed,"3D Animation, 3D Modelling, 3D Rendering, 3ds Max, Maya",https://www.freelancer.com/projects/3d-modelling/printable-victory-pose-figure
10,Classic Elegant Logo Design,99 bids,6 days left,$78 (Avg Bid),Fixed,"Graphic Design, Illustrator, Logo Design, Photoshop",https://www.freelancer.com/projects/logo-design/classic-elegant-logo-design-39358509
11,Fix Gmail Error 400,7 bids,6 days left,$21 (Avg Bid),Fixed,"HTML, Magento, MySQL, PHP, WordPress",https://www.freelancer.com/projects/php/fix-gmail-error
12,WordPress Website Filters Issue Resolution,4 bids,23 hours left,$16 (Avg Bid),Fixed,"Google Maps API, HTML, JavaScript, PHP, WordPress",https://www.freelancer.com/projects/google-maps-api/wordpress-website-filters-issue
13,Modify OpenBoard to Work Directly on Screen Without Screenshot or Overlay,8 bids,6 days left,$21 (Avg Bid),Fixed,"C++ Programming, GitHub, Qt, Software Development, Visual Studio",https://www.freelancer.com/projects/qt/modify-openboard-work-directly-screen
14,Creative Video Editor for Instagram Reels,19 bids,6 days left,$76 (Avg Bid),Fixed,"After Effects, Animation, Video Editing, Video Production, Video Services",https://www.freelancer.com/projects/video-editing/creative-video-editor-for-instagram-39356746
15,Ethnography Essay on Cultural Practice -- 2,32 bids,6 days left,$99 (Avg Bid),Fixed,"Article Writing, Report Writing, Research, Research Writing, Technical Writing",https://www.freelancer.com/projects/research-writing/ethnography-essay-cultural-practice
16,Apple Developer Account Rental for iOS App -- 2,4 bids,6 days left,$12 (Avg Bid),Fixed,"iPad, iPhone, Mobile App Development, Objective C, Swift",https://www.freelancer.com/projects/mobile-app-development/apple-developer-account-rental-for
17,Migrate WordPress Images to Wasabi,23 bids,6 days left,$19 (Avg Bid),Fixed,"PHP, WordPress",https://www.freelancer.com/projects/wordpress/migrate-wordpress-images-wasabi
18,Facebook Ad Video Creator Needed,11 bids,6 days left,$11 (Avg Bid),Fixed,"After Effects, Video Editing, Video Production, Video Services, Videography",https://www.freelancer.com/projects/video-editing/facebook-video-creator-needed
19,Luxury Townhouse Development Signage Design,40 bids,6 days left,$22 (Avg Bid),Fixed,"Brochure Design, Graphic Design, Illustrator, Logo Design, Photoshop",https://www.freelancer.com/projects/graphic-design/luxury-townhouse-development-signage
20,Crane Trucking Business Logo,111 bids,6 days left,$56 (Avg Bid),Fixed,"3D Design, Banner Design, Graphic Design, Illustrator, Logo Design",https://www.freelancer.com/projects/graphic-design/crane-trucking-business-logo
21,Daily YouTube Vlog Editor,0 bids,6 days left,$7 - $18,Fixed,"After Effects, Video Editing, Video Production, Video Services, Videography",https://www.freelancer.com/projects/video-editing/daily-youtube-vlog-editor
22,Melancholic Classical String Quartet Composition,2 bids,6 days left,$12 (Avg Bid),Fixed,"Music, Sound Design",https://www.freelancer.com/projects/music/melancholic-classical-string-quartet
23,Video blur removal,36 bids,6 days left,$94 (Avg Bid),Fixed,"After Effects, Photo Editing, Photoshop, Video Editing, Video Services",https://www.freelancer.com/projects/video-editing/video-blur-removal
24,Affiliate Marketing Link Generator App,9 bids,6 days left,$37 (Avg Bid),Fixed,"Banner Design, Graphic Design, HTML, PHP, Website Design",https://www.freelancer.com/projects/graphic-design/affiliate-marketing-link-generator-app
25,Unpixelate Security Camera Video,7 bids,6 days left,$18 (Avg Bid),Fixed,"After Effects, Video Editing, Video Production, Video Services, Videography",https://www.freelancer.com/projects/video-editing/unpixelate-security-camera-video
26,Boost Music Visibility on Spotify & YouTube,13 bids,6 days left,$31 (Avg Bid),Fixed,"Facebook Marketing, Internet Marketing, Social Media Marketing, Twitter, YouTube",https://www.freelancer.com/projects/social-media-marketing/boost-music-visibility-spotify-youtube
27,Amazon Photo Enhancement,68 bids,6 days left,$83 (Avg Bid),Fixed,"Adobe Lightroom, Photo Editing, Photography, Photoshop, Photoshop Design",https://www.freelancer.com/projects/photo-editing/amazon-photo-enhancement
28,Scientific Diet Quiz: Testing and Feedback,8 bids,6 days left,$20 (Avg Bid),Fixed,"Health, Mobile App Testing, Quality and Reliability Testing, Scientific Research, Testing / QA",https://www.freelancer.com/projects/testing-qa/scientific-diet-quiz-testing-feedback-39358412
29,Scientific Exercise Quiz: Testing & Feedback,5 bids,6 days left,$24 (Avg Bid),Fixed,"Health, Mobile App Testing, Quality and Reliability Testing, Scientific Research, Testing / QA",https://www.freelancer.com/projects/testing-qa/scientific-exercise-quiz-testing-39358407
30,Affordable VPS for Web Apps,10 bids,6 days left,$13 (Avg Bid),Fixed,"Linux, PHP, VPS, Web Hosting, Website Design",https://www.freelancer.com/projects/linux/affordable-vps-for-web-apps
31,Build My Affiliate Marketing Income,5 bids,6 days left,$41 (Avg Bid),Fixed,"Advertising, Facebook Marketing, Internet Marketing, Marketing, Sales",https://www.freelancer.com/projects/internet-marketing/build-affiliate-marketing-income
32,TikTok Growth Specialist Needed,7 bids,6 days left,$25 (Avg Bid),Fixed,"Internet Marketing, Statistics, TikTok",https://www.freelancer.com/projects/internet-marketing/tiktok-growth-specialist-needed
33,3D Furniture Renders Needed,50 bids,6 days left,$71 (Avg Bid),Fixed,"3D Animation, 3D Design, 3D Modelling, 3D Rendering, 3ds Max",https://www.freelancer.com/projects/3d-modelling/furniture-renders-needed-39358365
34,Python Data Scraping Specialist,8 bids,6 days left,$13 (Avg Bid),Fixed,"Data Mining, Data Processing, Python, Software Architecture, Web Scraping",https://www.freelancer.com/projects/python/python-data-scraping-specialist
35,Fire Detection and Alarm Systems Quantity Takeoff,9 bids,6 days left,$37 (Avg Bid),Fixed,"Engineering Drawing, Fire Alarm Design, Technical Drawing / Tech Pack",https://www.freelancer.com/projects/engineering-drawing/fire-detection-alarm-systems-quantity
36,Bilingual Latin Love Song,7 bids,6 days left,$92 (Avg Bid),Fixed,"Audio Production, Audio Services, Music",https://www.freelancer.com/projects/music/bilingual-latin-love-song
37,"Timed Questionnaire Integration on Plesk, Node.js Website",45 bids,6 days left,$63 (Avg Bid),Fixed,"HTML5, JavaScript, Node.js, PHP, Plesk",https://www.freelancer.com/projects/php/timed-questionnaire-integration-plesk
38,Azure DevOps Expert for Dashboard Deployment,7 bids,6 days left,$15 (Avg Bid),Fixed,"Amazon Web Services, Azure, DevOps, Node.js, NoSQL Couch & Mongo",https://www.freelancer.com/projects/azure/azure-devops-expert-for-dashboard
39,Fix WordPress Login Error,35 bids,6 days left,$87 (Avg Bid),Fixed,"CSS, HTML, MySQL, PHP, WordPress",https://www.freelancer.com/projects/css/fix-wordpress-login-error
40,Corporate Event Management -- 87924,1 bids,6 days left,$62 (Avg Bid),Fixed,"Customer Experience, Customer Service, Customer Support, Event Management, Event Staffing",https://www.freelancer.com/projects/customer-support/corporate-event-management-39357418
41,F1 YouTube Video Editor Needed,18 bids,6 days left,$23 (Avg Bid),Fixed,"After Effects, Video Editing, Video Production, Video Services, Videography",https://www.freelancer.com/projects/video-editing/youtube-video-editor-needed-39358255
42,PCB design for cable interconnection,6 bids,6 days left,$27 (Avg Bid),Fixed,"Circuit Design, Electrical Engineering, Electronics, PCB Layout, Product Design",https://www.freelancer.com/projects/pcb-layout/pcb-design-for-cable-interconnection
43,Cartoonish Caricature for T-Shirt,110 bids,6 days left,$87 (Avg Bid),Fixed,"Caricature & Cartoons, Graphic Design, Illustration, Illustrator, Photoshop",https://www.freelancer.com/projects/illustration/cartoonish-caricature-for-shirt
44,Aircraft Cockpit Function Research,22 bids,6 days left,$22 (Avg Bid),Fixed,"Data Entry, Photoshop, Research",https://www.freelancer.com/projects/photoshop/aircraft-cockpit-function-research
45,Corporate Event Management -- 49146,0 bids,6 days left,$34 - $285,Fixed,"Customer Experience, Customer Service, Customer Support, Event Management, Event Staffing",https://www.freelancer.com/projects/customer-support/corporate-event-management-39357390
46,YouTube Mobile Wrapper Development,11 bids,6 days left,$19 (Avg Bid),Fixed,"iOS Development, iPhone, Mobile App Development, React Native, Swift",https://www.freelancer.com/projects/iphone-app-development/youtube-mobile-wrapper-development
47,APA Formatting for 33-Page Paper,42 bids,6 days left,$58 (Avg Bid),Fixed,"Editing, Proofreading",https://www.freelancer.com/projects/proofreading/apa-formatting-for-page-paper
48,"Background Check Specialist in Medellín, Colombia",2 bids,6 days left,$25 (Avg Bid),Fixed,"Data Entry, Photography, Research, Virtual Assistant",https://www.freelancer.com/projects/data-entry/background-check-specialist-medell
49,كاتب محتوى مقالات موهوب,23 bids,6 days left,$17 (Avg Bid),Fixed,"Article Writing, Blog, Content Writing",https://www.freelancer.com/projects/articles/project-39358210
50,SEO & Website Content Writing Specialist Needed,39 bids,6 days left,$49 (Avg Bid),Fixed,"Article Writing, Content Writing, Ghostwriting, Link Building, SEO",https://www.freelancer.com/projects/seo/seo-website-content-writing-specialist
51,Fix Images In Elementor - Photoshop Needed - Exact Columns and Alignment -- 2,91 bids,6 days left,$100 (Avg Bid),Fixed,"Photo Editing, Photoshop, Photoshop Design, Website Design, WordPress",https://www.freelancer.com/projects/photoshop/fix-images-elementor-photoshop-needed-39358204
52,Amazon Product Listing Without UPC/EAN barcode -- 2,22 bids,6 days left,$25 (Avg Bid),Fixed,"Amazon Web Services, Data Entry, eBay, PHP, Product Descriptions",https://www.freelancer.com/projects/php/amazon-product-listing-without-upc
53,Sourcing & Procurement Strategist – Startup Furniture Factory (DR),5 bids,6 days left,$17 (Avg Bid),Fixed,"Buyer Sourcing, Procurement, Product Sourcing, Sourcing, Supplier Sourcing",https://www.freelancer.com/projects/product-sourcing/sourcing-procurement-strategist-startup
54,Felt Popsicle Sewing Project,66 bids,6 days left,$85 (Avg Bid),Fixed,"Corporate Identity, Fashion Design, Graphic Design, Logo Design, Product Design",https://www.freelancer.com/projects/graphic-design/felt-popsicle-sewing-project
55,Website Header Styling Fix,62 bids,6 days left,$23 (Avg Bid),Fixed,"CSS, HTML, PHP, Website Design",https://www.freelancer.com/projects/css/website-header-styling-fix
56,Awareness Poster Design,173 bids,6 days left,$83 (Avg Bid),Fixed,"Banner Design, Flyer Design, Graphic Design, Photoshop, Poster Design",https://www.freelancer.com/projects/graphic-design/awareness-poster-design
57,Modern Minimalistic Mobile App Design,35 bids,6 days left,$20 (Avg Bid),Fixed,"Graphic Design, Logo Design, Mobile App Development, User Interface / IA, UX / User Experience",https://www.freelancer.com/projects/graphic-design/modern-minimalistic-mobile-app-design
58,Twine Visual Coding and Design,24 bids,6 days left,$30 (Avg Bid),Fixed,"Graphic Design, Logo Design, Photoshop, User Interface / IA, Website Design",https://www.freelancer.com/projects/graphic-design/twine-visual-coding-design
59,Freelancers from Italy needed for documents authentication,0 bids,6 days left,$10 - $30,Fixed,"Data Entry, Local Job, Virtual Assistant",https://www.freelancer.com/projects/virtual-assistant/freelancers-from-italy-needed-for
60,3D Sculpting from JPEG,26 bids,6 days left,$46 (Avg Bid),Fixed,"3D Animation, 3D Modelling, 3D Rendering, 3ds Max, Maya",https://www.freelancer.com/projects/3d-modelling/sculpting-from-jpeg
61,Dating Photos,4 bids,6 days left,$42 (Avg Bid),Fixed,"Photo Editing, Photography",https://www.freelancer.com/projects/photography/dating-photos
62,Anime T-shirt Design,74 bids,6 days left,$27 (Avg Bid),Fixed,"Graphic Design, Illustration, Photoshop, Photoshop Design, T-Shirts",https://www.freelancer.com/projects/tshirts/anime-shirt-design-39358117
63,Automated Sports Arbitrage Finder,12 bids,6 days left,$16 (Avg Bid),Fixed,"C Programming, JavaScript, PHP, Python, Software Architecture",https://www.freelancer.com/projects/php/automated-sports-arbitrage-finder
64,SU Ski and Board Logo,150 bids,6 days left,$76 (Avg Bid),Fixed,"Graphic Design, Illustrator, Logo Design, Photoshop, T-Shirts",https://www.freelancer.com/projects/graphic-design/ski-board-logo
65,Python Portfolio Site Development,37 bids,6 days left,$36 (Avg Bid),Fixed,"Django, HTML, JavaScript, PHP, Python",https://www.freelancer.com/projects/python/python-portfolio-site-development
66,PHP to Secure Windows Desktop App,34 bids,6 days left,$16 (Avg Bid),Fixed,"C# Programming, MySQL, PHP, Software Architecture, Web Security",https://www.freelancer.com/projects/php/php-secure-windows-desktop-app
67,Custom T-Shirt Design Specialist,65 bids,6 days left,$30 (Avg Bid),Fixed,"Graphic Design, Logo Design, T-Shirts",https://www.freelancer.com/projects/graphic-design/custom-shirt-design-specialist
68,Modify an app based on flutter,37 bids,6 days left,$26 (Avg Bid),Fixed,"Android, Flutter, Mobile App Development, PHP, Software Architecture",https://www.freelancer.com/projects/android/modify-app-based-flutter
69,3D Dental Model Specialist,12 bids,6 days left,$24 (Avg Bid),Fixed,"3D Animation, 3D Modelling, 3D Rendering, 3ds Max, Maya",https://www.freelancer.com/projects/3d-modelling/dental-model-specialist
70,Fix Application Server Error,8 bids,6 days left,$30 (Avg Bid),Fixed,"Amazon S3, DNS, Linux, System Admin, Web Security",https://www.freelancer.com/projects/linux/fix-application-server-error
71,ASAP Company Task Completion,44 bids,6 days left,$64 (Avg Bid),Fixed,"Article Writing, Content Writing, Copywriting, Ghostwriting, Marketing",https://www.freelancer.com/projects/content-writing/asap-company-task-completion
72,Wordpress Header and Button Fix,115 bids,6 days left,$24 (Avg Bid),Fixed,"CSS, HTML, PHP, Website Design, WordPress",https://www.freelancer.com/projects/wordpress/wordpress-header-button-fix
73,CoinGecko Token Listing,0 bids,6 days left,$18 - $147,Fixed,"Cryptocurrency, Etherscan",https://www.freelancer.com/projects/cryptocurrency/coingecko-token-listing
74,URGENT: Excel Analysis + GTM Plan for Telecom Case Study (24-Hour Turnaround),22 bids,6 days left,$92 (Avg Bid),Fixed,"Business Analysis, Excel, Marketing Strategy, Telecommunications Engineering, Telecoms Engineering",https://www.freelancer.com/projects/excel/urgent-excel-analysis-gtm-plan
75,Quick Photo Edit Needed,92 bids,6 days left,$21 (Avg Bid),Fixed,"Graphic Design, Photo Editing, Photography, Photoshop, Photoshop Design",https://www.freelancer.com/projects/photoshop/quick-photo-edit-needed
76,Click-to-Call API Development for VICI Dial Server -- 2,6 bids,6 days left,$85 (Avg Bid),Fixed,"Asterisk PBX, MySQL, PHP",https://www.freelancer.com/projects/php/click-call-api-development-for
77,Cartoonish 3D App Demo Video (30 seconds video),6 bids,6 days left,$11 (Avg Bid),Fixed,"3D Animation, 3D Modelling, After Effects, Animation, Video Services",https://www.freelancer.com/projects/animation/cartoonish-app-demo-video-seconds
78,Simulink Model for Renewable Energy Integration,3 bids,6 days left,$33 (Avg Bid),Fixed,"Electrical Engineering, Electronics, Engineering, Matlab and Mathematica, Mechanical Engineering",https://www.freelancer.com/projects/matlab-mathematica/simulink-model-for-renewable-energy
79,Complete Registration for Microsoft Partner Program,2 bids,6 days left,$25 (Avg Bid),Fixed,"Administrative Support, Documentation, Microsoft, Microsoft 365, Technical Documentation",https://www.freelancer.com/projects/microsoft/complete-registration-for-microsoft
80,NiFi Pipeline Setup with Load Balancing,3 bids,6 days left,$9 (Avg Bid),Fixed,"Apache, Apache Hadoop, Data Engineer",https://www.freelancer.com/projects/apache-hadoop/nifi-pipeline-setup-with-load
81,Experienced Audio Editor Needed for Interview style Podcast,23 bids,6 days left,$80 (Avg Bid),Fixed,"Audio Production, Audio Services, Music, Sound Design, Voice Talent",https://www.freelancer.com/projects/audio-production/experienced-audio-editor-needed-for
82,Three.js Interactive Landing Page Development,10 bids,6 days left,$12 (Avg Bid),Fixed,"CSS, HTML, HTML5, JavaScript, Three.js",https://www.freelancer.com/projects/javascript/three-interactive-landing-page
83,looking for someone who can provide data and location of a person (Urgent Hiring),14 bids,6 days left,$19 (Avg Bid),Fixed,"Article Writing, Data Entry, Graphic Design, Investigation, Virtual Assistant",https://www.freelancer.com/projects/virtual-assistant/looking-for-someone-who-can-39357911
84,السلام عليكم ورحمة الله وبركاته، أتمنى أن تكون بخير. أرغب في طلب مساعدتك في إعداد سيرة ذاتية (CV) احترافية تعكس مؤهلاتي وخبراتي بشكل منسّق وجذّاب. أود أن تتضمن السيرة الذاتية العناصر التالية: البيانات الشخصية المؤهلات العلمية الخبرات العملية المهارا,30 bids,6 days left,$17 (Avg Bid),Fixed,"Article Writing, Report Writing, Research Writing, Reviews, Technical Writing",https://www.freelancer.com/projects/research-writing/project-39357883
85,Classic Roofing Company Logo Design,110 bids,6 days left,$21 (Avg Bid),Fixed,"3D Design, Graphic Design, Illustrator, Logo Design, Photoshop",https://www.freelancer.com/projects/logo-design/classic-roofing-company-logo-design
86,PHP Developer Needed for MySQL Project,23 bids,6 days left,$18 (Avg Bid),Fixed,"HTML, JavaScript, MySQL, PHP, Website Design",https://www.freelancer.com/projects/php/php-developer-needed-for-mysql-39357884
87,Cartoonish Fantasy NSFW Comics,51 bids,6 days left,$30 (Avg Bid),Fixed,"Caricature & Cartoons, Graphic Design, Illustration, Illustrator, Photoshop",https://www.freelancer.com/projects/illustration/cartoonish-fantasy-nsfw-comics
88,Ansys Structural Simulation Expert,3 bids,6 days left,$26 (Avg Bid),Fixed,"Civil Engineering, Engineering, Finite Element Analysis, Mechanical Engineering, Structural Engineering",https://www.freelancer.com/projects/finite-element-analysis/ansys-structural-simulation-expert
89,Amazon PPC Optimization Specialist,18 bids,6 days left,$74 (Avg Bid),Fixed,"Amazon Ads, Amazon FBA, PPC Marketing, SEO, SEO Auditing",https://www.freelancer.com/projects/seo/amazon-ppc-optimization-specialist
90,Creative Company Naming,8 bids,6 days left,$8 (Avg Bid),Fixed,"Graphic Design, Industrial Design, Logo Design, Website Design",https://www.freelancer.com/projects/industrial-design/creative-company-naming
91,Cartoonish 3D Animated Characters,29 bids,6 days left,$750 - $1500,Fixed,"3D Animation, 3D Modelling, After Effects, Animation, Maya",https://www.freelancer.com/projects/3d-animation/cartoonish-animated-characters
92,Modern Country Music Production,34 bids,6 days left,$97 (Avg Bid),Fixed,"Audio Production, Audio Services, Mixing Engineering, Music, Sound Design",https://www.freelancer.com/projects/music/modern-country-music-production
93,Setting up Existing WordPress on New Hosting,60 bids,6 days left,$27 (Avg Bid),Fixed,"MySQL, Website Build, WordPress",https://www.freelancer.com/projects/wordpress/setting-existing-wordpress-new-hosting
94,AI-Powered Blog Content Generator Web App,11 bids,6 days left,$12 (Avg Bid),Fixed,"Artificial Intelligence, CSS, HTML, HTML5, OpenAI",https://www.freelancer.com/projects/html5/powered-blog-content-generator-web
95,Cinematic Video Editor,13 bids,6 days left,$22 (Avg Bid),Fixed,"After Effects, Color Grading, Video Editing, Video Production, Video Services",https://www.freelancer.com/projects/video-editing/cinematic-video-editor-39357843
96,Android App design and Functional all Screen,11 bids,6 days left,$19 (Avg Bid),Fixed,"Android, Graphic Design, Illustrator, Photoshop Design, UX / User Experience",https://www.freelancer.com/projects/android/android-app-design-functional-all
97,3D Model Consolidation for Aircraft Printing,18 bids,6 days left,$32 (Avg Bid),Fixed,"3D Modelling, AutoCAD, Blender, CAD/CAM, Solidworks",https://www.freelancer.com/projects/3d-modelling/model-consolidation-for-aircraft
98,Fleet & Driver Management System Development,13 bids,6 days left,$89 (Avg Bid),Fixed,"Android, C# Programming, Mobile App Development, PHP, Software Architecture",https://www.freelancer.com/projects/mobile-app-development/fleet-driver-management-system
99,Punjabi Narration for E-Learning,4 bids,6 days left,$13 (Avg Bid),Fixed,"Audio Services, Data Entry, Punjabi Translator, Urdu Translator, Voice Talent",https://www.freelancer.com/projects/voice-talent/punjabi-narration-for-learning
100,Legalized Bachelor's Diploma in IT,10 bids,6 days left,$14 (Avg Bid),Fixed,"Contracts, Legal, Legal Research, Legal Writing, Research Writing",https://www.freelancer.com/projects/legal/legalized-bachelor-diploma
101,Calm Instrumental Focus Music,15 bids,6 days left,$29 (Avg Bid),Fixed,"Audio Production, Audio Services, Music, Sound Design, Voice Talent",https://www.freelancer.com/projects/music/calm-instrumental-focus-music
102,Setup YOURLS & Plugins on Hostinger Account,20 bids,6 days left,$23 (Avg Bid),Fixed,"JavaScript, Linux, MySQL, PHP, Web Hosting",https://www.freelancer.com/projects/php/setup-yourls-plugins-hostinger-account
103,Capstone Reflection Essay,57 bids,6 days left,$21 (Avg Bid),Fixed,"Article Writing, Report Writing, Research, Research Writing, Technical Writing",https://www.freelancer.com/projects/research-writing/capstone-reflection-essay
104,"AI-Content Optimisation and SEO Specialist Compensation:-- ₹8,000 per month",24 bids,6 days left,$93 (Avg Bid),Fixed,"Article Writing, Content Writing, Copywriting, SEO, Social Media Marketing",https://www.freelancer.com/projects/articles/content-optimisation-seo-specialist-39357773
105,IVR Voice Consent System for Insurance,11 bids,6 days left,$82 (Avg Bid),Fixed,"Asterisk PBX, PHP, Software Architecture, Twilio, Voice Talent",https://www.freelancer.com/projects/asterisk-pbx/ivr-voice-consent-system-for
106,Video Creación para WanderlustVibesTV -- 2,23 bids,6 days left,$43 (Avg Bid),Fixed,"After Effects, Animation, Video Editing, Video Services, Videography",https://www.freelancer.com/projects/video-services/video-creaci-para-wanderlustvibestv-39357760
107,Correct CMC Circulating Supply Data,0 bids,6 days left,$147 - $440,Fixed,"Binance Smart Chain, Cryptocurrency, Etherscan, Smart Contracts",https://www.freelancer.com/projects/cryptocurrency/correct-cmc-circulating-supply-data
108,"Cleanroom and Advanced Laboratory Mechanical Design Training, Trainer Required",0 bids,6 days left,$7 - $18,Fixed,"CAD/CAM, Engineering, HVAC, Mechanical Engineering, Plumbing",https://www.freelancer.com/projects/mechanical-engineering/cleanroom-advanced-laboratory-mechanical
109,AI Personal Assistant & Trading Android App,2 bids,6 days left,$12 (Avg Bid),Fixed,"Android, Graphic Design, Logo Design, Mobile App Development, Photoshop",https://www.freelancer.com/projects/android/personal-assistant-trading-android-app
110,Tally ERP GST Mastery,5 bids,6 days left,$10 (Avg Bid),Fixed,"Accounting, Excel, Finance, Intuit QuickBooks, Research Writing",https://www.freelancer.com/projects/accounting/tally-erp-gst-mastery
111,Convert Website to Android App,30 bids,6 days left,$81 (Avg Bid),Fixed,"Android, Java, Mobile App Development, MySQL, PHP",https://www.freelancer.com/projects/android/convert-website-android-app-39357745
112,Android Phone Tracking Specialist,4 bids,6 days left,$16 (Avg Bid),Fixed,"Android, iPhone, Java, Mobile App Development, Mobile App Testing",https://www.freelancer.com/projects/android/android-phone-tracking-specialist
113,Zombie-Themed Strategy Game Card Design,63 bids,6 days left,$33 (Avg Bid),Fixed,"Caricature & Cartoons, Graphic Design, Illustration, Photoshop",https://www.freelancer.com/projects/illustration/zombie-themed-strategy-game-card
114,Elementor to Bricks Page Migration (Technical Test) - 2,31 bids,6 days left,$30 (Avg Bid),Fixed,"CSS, HTML, PHP, SEO, WordPress",https://www.freelancer.com/projects/seo/elementor-bricks-page-migration-39357736
115,Hand-Drawn Process Diagram in Canva,63 bids,6 days left,$23 (Avg Bid),Fixed,"Flyer Design, Graphic Design, Illustration, Illustrator, Photoshop",https://www.freelancer.com/projects/graphic-design/hand-drawn-process-diagram-canva
116,Elementor to Bricks Page Migration (Technical Test) - 3,26 bids,6 days left,$30 (Avg Bid),Fixed,"CSS, HTML, PHP, SEO, WordPress",https://www.freelancer.com/projects/seo/elementor-bricks-page-migration-39357721
117,Secure Moodle with CORS Configuration,4 bids,6 days left,$9 (Avg Bid),Fixed,"Moodle, PHP, Web Security",https://www.freelancer.com/projects/moodle/secure-moodle-with-cors-configuration
118,Traditional Chinese Dragon T-Shirt Design,15 bids,6 days left,$24 (Avg Bid),Fixed,"Graphic Design, Illustrator, Photoshop, Photoshop Design, T-Shirts",https://www.freelancer.com/projects/graphic-design/traditional-chinese-dragon-shirt-design
119,Professional Company Presentation Design,32 bids,6 days left,$71 (Avg Bid),Fixed,"Article Writing, Content Writing, Copywriting, Ghostwriting, Powerpoint",https://www.freelancer.com/projects/content-writing/professional-company-presentation-design
120,Physical Therapy Educational Brochure,171 bids,6 days left,$87 (Avg Bid),Fixed,"Brochure Design, Content Writing, Copywriting, Graphic Design, Marketing",https://www.freelancer.com/projects/graphic-design/physical-therapy-educational-brochure
