ID,Category_x,Reclassified_Category
2,Other,Artificial Intelligence / Machine Learning
3,Other,Artificial Intelligence / Machine Learning
4,Other,Artificial Intelligence / Machine Learning
5,Other,Artificial Intelligence / Machine Learning
8,Other,Artificial Intelligence / Machine Learning
9,Other,Cloud Computing
10,Other,Artificial Intelligence / Machine Learning
11,Other,Artificial Intelligence / Machine Learning
12,Other,Artificial Intelligence / Machine Learning
13,Other,Artificial Intelligence / Machine Learning
14,Other,Artificial Intelligence / Machine Learning
15,Other,Artificial Intelligence / Machine Learning
16,Other,Software Engineering
17,Other,Artificial Intelligence / Machine Learning
18,Other,Artificial Intelligence / Machine Learning
19,Other,Artificial Intelligence / Machine Learning
20,Other,Artificial Intelligence / Machine Learning
21,Other,Artificial Intelligence / Machine Learning
22,Other,Artificial Intelligence / Machine Learning
23,Other,DevOps
24,Other,Mobile Development
25,Other,Artificial Intelligence / Machine Learning
26,Other,Other
27,Other,Artificial Intelligence / Machine Learning
28,Other,Artificial Intelligence / Machine Learning
29,Other,Networking
30,Other,Artificial Intelligence / Machine Learning
33,Other,Artificial Intelligence / Machine Learning
35,Other,Networking
36,Other,Other
38,Other,Other
41,Other,Artificial Intelligence / Machine Learning
42,Other,Networking
44,Other,Artificial Intelligence / Machine Learning
45,Other,Other
47,Other,Other
48,Other,Artificial Intelligence / Machine Learning
49,Other,Other
50,Other,Artificial Intelligence / Machine Learning
51,Other,Artificial Intelligence / Machine Learning
52,Other,Artificial Intelligence / Machine Learning
53,Other,Artificial Intelligence / Machine Learning
55,Other,Networking
56,Other,Artificial Intelligence / Machine Learning
57,Other,Artificial Intelligence / Machine Learning
58,Other,Artificial Intelligence / Machine Learning
59,Other,Artificial Intelligence / Machine Learning
60,Other,Artificial Intelligence / Machine Learning
61,Other,Networking
62,Other,Artificial Intelligence / Machine Learning
63,Other,Artificial Intelligence / Machine Learning
64,Other,Artificial Intelligence / Machine Learning
65,Other,Other
66,Other,Artificial Intelligence / Machine Learning
67,Other,Artificial Intelligence / Machine Learning
68,Other,Software Engineering
70,Other,Networking
71,Other,Networking
72,Other,Other
73,Other,Networking
74,Other,Artificial Intelligence / Machine Learning
75,Other,Other
76,Other,Artificial Intelligence / Machine Learning
77,Other,Artificial Intelligence / Machine Learning
78,Other,Artificial Intelligence / Machine Learning
79,Other,Artificial Intelligence / Machine Learning
80,Other,Artificial Intelligence / Machine Learning
81,Other,Artificial Intelligence / Machine Learning
82,Other,Other
84,Other,Artificial Intelligence / Machine Learning
85,Other,Artificial Intelligence / Machine Learning
86,Other,Artificial Intelligence / Machine Learning
87,Other,Artificial Intelligence / Machine Learning
88,Other,Artificial Intelligence / Machine Learning
89,Other,Artificial Intelligence / Machine Learning
90,Other,Artificial Intelligence / Machine Learning
91,Other,Artificial Intelligence / Machine Learning
92,Other,Other
93,Other,Other
94,Other,Artificial Intelligence / Machine Learning
97,Other,Artificial Intelligence / Machine Learning
100,Other,Other
101,Other,Artificial Intelligence / Machine Learning
102,Other,Other
103,Other,Other
104,Other,Networking
105,Other,Artificial Intelligence / Machine Learning
106,Other,Artificial Intelligence / Machine Learning
107,Other,Artificial Intelligence / Machine Learning
108,Other,Artificial Intelligence / Machine Learning
110,Other,Mobile Development
111,Other,Artificial Intelligence / Machine Learning
112,Other,Artificial Intelligence / Machine Learning
113,Other,Artificial Intelligence / Machine Learning
114,Other,Artificial Intelligence / Machine Learning
115,Other,Artificial Intelligence / Machine Learning
118,Other,Artificial Intelligence / Machine Learning
119,Other,Other
120,Other,Other
121,Other,Other
122,Other,Other
123,Other,Artificial Intelligence / Machine Learning
124,Other,Networking
125,Other,Artificial Intelligence / Machine Learning
126,Other,Mobile Development
127,Other,Other
128,Other,Other
129,Other,Artificial Intelligence / Machine Learning
130,Other,Other
131,Other,Networking
132,Other,Other
133,Other,Artificial Intelligence / Machine Learning
134,Other,Other
135,Other,Artificial Intelligence / Machine Learning
136,Other,Other
137,Other,Other
140,Other,Artificial Intelligence / Machine Learning
141,Other,Networking
143,Other,Networking
144,Other,Artificial Intelligence / Machine Learning
145,Other,Artificial Intelligence / Machine Learning
146,Other,Artificial Intelligence / Machine Learning
147,Other,Networking
148,Other,Other
149,Other,Artificial Intelligence / Machine Learning
150,Other,Artificial Intelligence / Machine Learning
151,Other,Other
152,Other,Artificial Intelligence / Machine Learning
153,Other,Other
154,Other,Other
155,Other,Artificial Intelligence / Machine Learning
156,Other,Artificial Intelligence / Machine Learning
157,Other,Artificial Intelligence / Machine Learning
159,Other,Artificial Intelligence / Machine Learning
160,Other,Artificial Intelligence / Machine Learning
161,Other,Artificial Intelligence / Machine Learning
162,Other,Artificial Intelligence / Machine Learning
163,Other,Artificial Intelligence / Machine Learning
164,Other,Artificial Intelligence / Machine Learning
165,Other,Artificial Intelligence / Machine Learning
166,Other,Artificial Intelligence / Machine Learning
167,Other,Other
168,Other,Artificial Intelligence / Machine Learning
169,Other,Artificial Intelligence / Machine Learning
170,Other,Artificial Intelligence / Machine Learning
171,Other,Other
173,Other,Artificial Intelligence / Machine Learning
174,Other,Artificial Intelligence / Machine Learning
175,Other,Other
176,Other,Other
177,Other,Artificial Intelligence / Machine Learning
178,Other,Other
179,Other,Web Development
180,Other,Artificial Intelligence / Machine Learning
181,Other,Web Development
182,Other,Artificial Intelligence / Machine Learning
183,Other,Artificial Intelligence / Machine Learning
184,Other,Artificial Intelligence / Machine Learning
185,Other,Artificial Intelligence / Machine Learning
186,Other,Artificial Intelligence / Machine Learning
187,Other,Other
188,Other,Other
189,Other,Artificial Intelligence / Machine Learning
190,Other,Artificial Intelligence / Machine Learning
192,Other,Other
193,Other,Other
194,Other,Other
195,Other,Artificial Intelligence / Machine Learning
196,Other,Artificial Intelligence / Machine Learning
197,Other,Other
198,Other,Artificial Intelligence / Machine Learning
199,Other,Artificial Intelligence / Machine Learning
200,Other,Other
201,Other,Other
202,Other,Web Development
203,Other,Artificial Intelligence / Machine Learning
206,Other,Artificial Intelligence / Machine Learning
207,Other,Web Development
208,Other,Artificial Intelligence / Machine Learning
210,Other,Artificial Intelligence / Machine Learning
211,Other,Other
212,Other,Artificial Intelligence / Machine Learning
214,Other,Other
215,Other,Other
216,Other,Artificial Intelligence / Machine Learning
217,Other,Artificial Intelligence / Machine Learning
218,Other,Artificial Intelligence / Machine Learning
219,Other,Artificial Intelligence / Machine Learning
220,Other,Artificial Intelligence / Machine Learning
221,Other,Artificial Intelligence / Machine Learning
222,Other,Artificial Intelligence / Machine Learning
223,Other,Artificial Intelligence / Machine Learning
224,Other,Other
225,Other,Artificial Intelligence / Machine Learning
226,Other,Artificial Intelligence / Machine Learning
227,Other,Artificial Intelligence / Machine Learning
228,Other,Artificial Intelligence / Machine Learning
229,Other,Other
230,Other,Other
231,Other,Artificial Intelligence / Machine Learning
232,Other,Mobile Development
233,Other,Artificial Intelligence / Machine Learning
234,Other,Other
236,Other,Artificial Intelligence / Machine Learning
237,Other,Artificial Intelligence / Machine Learning
238,Other,Artificial Intelligence / Machine Learning
239,Other,Artificial Intelligence / Machine Learning
240,Other,Other
241,Other,Artificial Intelligence / Machine Learning
242,Other,Other
243,Other,Artificial Intelligence / Machine Learning
244,Other,Other
245,Other,Other
246,Other,Artificial Intelligence / Machine Learning
247,Other,Artificial Intelligence / Machine Learning
248,Other,Artificial Intelligence / Machine Learning
249,Other,Artificial Intelligence / Machine Learning
250,Other,Artificial Intelligence / Machine Learning
251,Other,Artificial Intelligence / Machine Learning
252,Other,Other
254,Other,Other
255,Other,Web Development
256,Other,Artificial Intelligence / Machine Learning
258,Other,Mobile Development
259,Other,Artificial Intelligence / Machine Learning
260,Other,Artificial Intelligence / Machine Learning
261,Other,Artificial Intelligence / Machine Learning
262,Other,Networking
263,Other,Other
264,Other,Artificial Intelligence / Machine Learning
266,Other,Artificial Intelligence / Machine Learning
267,Other,Artificial Intelligence / Machine Learning
268,Other,Artificial Intelligence / Machine Learning
269,Other,Artificial Intelligence / Machine Learning
270,Other,Cloud Computing
271,Other,Artificial Intelligence / Machine Learning
272,Other,Other
273,Other,Other
274,Other,Artificial Intelligence / Machine Learning
275,Other,Artificial Intelligence / Machine Learning
276,Other,Other
277,Other,Other
278,Other,Other
279,Other,Artificial Intelligence / Machine Learning
280,Other,Artificial Intelligence / Machine Learning
282,Other,Artificial Intelligence / Machine Learning
283,Other,Artificial Intelligence / Machine Learning
284,Other,Artificial Intelligence / Machine Learning
285,Other,Artificial Intelligence / Machine Learning
286,Other,Other
287,Other,Artificial Intelligence / Machine Learning
288,Other,Artificial Intelligence / Machine Learning
289,Other,Artificial Intelligence / Machine Learning
290,Other,Artificial Intelligence / Machine Learning
291,Other,Other
292,Other,Artificial Intelligence / Machine Learning
293,Other,Artificial Intelligence / Machine Learning
294,Other,Artificial Intelligence / Machine Learning
295,Other,Artificial Intelligence / Machine Learning
296,Other,Artificial Intelligence / Machine Learning
301,Other,Artificial Intelligence / Machine Learning
302,Other,Artificial Intelligence / Machine Learning
303,Other,Artificial Intelligence / Machine Learning
304,Other,Artificial Intelligence / Machine Learning
305,Other,Other
307,Other,Artificial Intelligence / Machine Learning
309,Other,Other
310,Other,Other
311,Other,Artificial Intelligence / Machine Learning
312,Other,Artificial Intelligence / Machine Learning
313,Other,Other
314,Other,Artificial Intelligence / Machine Learning
315,Other,Networking
316,Other,Other
317,Other,Other
318,Other,Other
319,Other,Artificial Intelligence / Machine Learning
320,Other,Artificial Intelligence / Machine Learning
321,Other,Artificial Intelligence / Machine Learning
322,Other,Other
323,Other,Other
324,Other,Software Engineering
327,Other,Other
328,Other,Other
329,Other,Other
330,Other,Other
331,Other,Artificial Intelligence / Machine Learning
333,Other,Other
335,Other,Other
336,Other,Other
337,Other,Web Development
339,Other,Artificial Intelligence / Machine Learning
340,Other,Artificial Intelligence / Machine Learning
341,Other,Artificial Intelligence / Machine Learning
343,Other,Other
344,Other,Other
345,Other,Other
346,Other,Artificial Intelligence / Machine Learning
347,Other,Other
348,Other,Other
349,Other,Artificial Intelligence / Machine Learning
350,Other,Artificial Intelligence / Machine Learning
351,Other,Artificial Intelligence / Machine Learning
353,Other,Artificial Intelligence / Machine Learning
354,Other,Networking
355,Other,Artificial Intelligence / Machine Learning
356,Other,Artificial Intelligence / Machine Learning
357,Other,Other
358,Other,Other
359,Other,Other
360,Other,Artificial Intelligence / Machine Learning
361,Other,Other
362,Other,Artificial Intelligence / Machine Learning
364,Other,Artificial Intelligence / Machine Learning
366,Other,Other
367,Other,Artificial Intelligence / Machine Learning
368,Other,Artificial Intelligence / Machine Learning
370,Other,Mobile Development
371,Other,Artificial Intelligence / Machine Learning
372,Other,Networking
373,Other,Artificial Intelligence / Machine Learning
374,Other,Artificial Intelligence / Machine Learning
376,Other,Other
377,Other,Artificial Intelligence / Machine Learning
379,Other,Artificial Intelligence / Machine Learning
380,Other,Networking
381,Other,Other
382,Other,Artificial Intelligence / Machine Learning
383,Other,Artificial Intelligence / Machine Learning
384,Other,Artificial Intelligence / Machine Learning
385,Other,Other
386,Other,Other
387,Other,Artificial Intelligence / Machine Learning
388,Other,Artificial Intelligence / Machine Learning
389,Other,Artificial Intelligence / Machine Learning
390,Other,Artificial Intelligence / Machine Learning
391,Other,Other
392,Other,Networking
393,Other,Artificial Intelligence / Machine Learning
394,Other,Artificial Intelligence / Machine Learning
395,Other,Artificial Intelligence / Machine Learning
396,Other,Other
398,Other,Artificial Intelligence / Machine Learning
399,Other,Artificial Intelligence / Machine Learning
400,Other,Artificial Intelligence / Machine Learning
401,Other,Artificial Intelligence / Machine Learning
402,Other,Artificial Intelligence / Machine Learning
